----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fadd    $2     $14    $3   
fsub    $15    $20    $9   
fsub    $26    $22    $14  
fsw     $10    $0     -776
fsw     $5     $0     -1208
fsub    $11    $9     $13  
fsub    $26    $5     $10  
fadd    $14    $20    $7   
flw     $23    $0     -1492
fsub    $27    $27    $28  
fadd    $2     $10    $3   
fadd    $20    $24    $15  
fsw     $8     $0     -1128
fsw     $3     $0     248
fsw     $16    $0     -92
fsw     $13    $0     576
fadd    $9     $13    $26  
fsw     $20    $0     744
fsub    $14    $1     $3   
flw     $11    $0     -828
flw     $18    $0     1536
fsub    $30    $21    $12  
fsw     $9     $0     -2024
fsub    $10    $25    $31  
fsub    $10    $26    $24  
fsub    $17    $29    $13  
fadd    $30    $31    $6   
flw     $19    $0     -1696
fsw     $21    $0     32
fsub    $12    $7     $24  
flw     $2     $0     -480
fsw     $3     $0     -1488
flw     $6     $0     -1988
flw     $9     $0     -1124
fadd    $2     $8     $23  
fadd    $16    $20    $22  
fsw     $12    $0     -592
fsw     $12    $0     -36
flw     $26    $0     1924
fsw     $28    $0     -1656
fadd    $18    $7     $7   
flw     $27    $0     -888
fadd    $8     $19    $12  
flw     $6     $0     1180
flw     $12    $0     -344
fsw     $5     $0     -1528
fadd    $23    $13    $26  
fadd    $15    $0     $9   
flw     $15    $0     1704
fadd    $7     $20    $16  
fadd    $5     $4     $6   
fadd    $4     $0     $11  
fadd    $25    $23    $16  
fadd    $16    $21    $15  
flw     $21    $0     -176
fsub    $19    $6     $23  
fsub    $1     $15    $5   
flw     $8     $0     -1620
fsw     $10    $0     1516
flw     $6     $0     1112
fsw     $10    $0     -816
fsub    $6     $15    $31  
fsw     $4     $0     1264
fadd    $15    $20    $2   
fsw     $27    $0     -560
flw     $7     $0     -1444
flw     $11    $0     1460
flw     $2     $0     -916
fsw     $1     $0     1192
fsub    $13    $10    $10  
fadd    $19    $24    $11  
fsw     $16    $0     28
fsub    $7     $17    $27  
fadd    $9     $0     $14  
fsw     $22    $0     -584
fadd    $25    $13    $20  
flw     $20    $0     1772
fadd    $24    $13    $6   
fsub    $14    $21    $25  
flw     $19    $0     -696
flw     $12    $0     1520
flw     $3     $0     -1772
fsub    $27    $0     $0   
fsw     $0     $0     -844
fadd    $27    $9     $10  
flw     $30    $0     940
flw     $29    $0     -1268
flw     $27    $0     -1760
fsw     $10    $0     1768
fadd    $5     $12    $12  
fsw     $9     $0     604
fadd    $14    $8     $0   
flw     $18    $0     536
fsw     $20    $0     448
fadd    $1     $6     $26  
fsub    $30    $30    $14  
fsub    $14    $28    $9   
fsub    $8     $2     $24  
fsw     $5     $0     320
fsub    $10    $2     $17  
fadd    $3     $7     $4   
fsw     $21    $0     620
fadd    $8     $0     $7   
flw     $28    $0     -1060
fadd    $7     $23    $20  
fsub    $20    $29    $13  
fsw     $4     $0     -1072
fadd    $18    $18    $0   
flw     $8     $0     -1468
fsw     $0     $0     -1188
fadd    $10    $0     $3   
fadd    $19    $7     $13  
flw     $18    $0     -72
fsw     $21    $0     -1800
fsw     $6     $0     244
fsw     $3     $0     -1852
fsub    $1     $27    $1   
fsw     $25    $0     -1624
fsw     $28    $0     1048
fadd    $11    $7     $30  
fsw     $24    $0     -1912
fsub    $30    $23    $0   
fadd    $11    $7     $10  
fadd    $25    $8     $18  
fsub    $8     $27    $8   
fsw     $21    $0     -1828
fsw     $28    $0     356
fadd    $28    $4     $4   
fsub    $30    $22    $0   
fsub    $12    $23    $27  
fsub    $26    $11    $13  
fsw     $17    $0     -932
fadd    $15    $14    $22  
fadd    $12    $26    $17  
fsw     $21    $0     -1192
fsw     $16    $0     1368
fsub    $23    $5     $1   
fsw     $1     $0     -344
flw     $29    $0     1656
flw     $19    $0     -592
fsw     $19    $0     684
fsw     $26    $0     1292
flw     $14    $0     -908
fsw     $30    $0     -596
fsub    $8     $5     $5   
fadd    $29    $4     $0   
fadd    $10    $4     $10  
fsw     $20    $0     -204
fsub    $8     $5     $24  
fsw     $31    $0     -900
flw     $18    $0     1568
fadd    $8     $2     $28  
fsw     $10    $0     -716
fsub    $28    $9     $17  
fsub    $27    $17    $0   
fsub    $7     $26    $1   
flw     $24    $0     -808
fsub    $31    $16    $17  
fsw     $18    $0     212
fsub    $31    $24    $22  
flw     $20    $0     464
fadd    $28    $19    $1   
flw     $22    $0     -1860
fsw     $18    $0     -1656
fsub    $2     $11    $27  
flw     $30    $0     520
fadd    $30    $31    $6   
fsw     $24    $0     -932
fsw     $10    $0     1924
fsw     $7     $0     1360
fsw     $5     $0     1136
flw     $5     $0     1612
fsub    $2     $12    $18  
flw     $17    $0     -1632
fsub    $22    $15    $3   
flw     $24    $0     -1652
fsub    $17    $20    $28  
fsub    $11    $13    $31  
flw     $7     $0     1004
fsw     $13    $0     -1856
fsw     $15    $0     2024
fsub    $19    $17    $14  
flw     $2     $0     1752
fsw     $29    $0     -1804
flw     $15    $0     -1488
fadd    $4     $15    $12  
fsw     $28    $0     -1656
fadd    $11    $17    $7   
flw     $9     $0     -1600
fsw     $16    $0     -396
fsw     $19    $0     12
fadd    $28    $24    $26  
fadd    $22    $28    $7   
fsw     $13    $0     608
fadd    $23    $28    $27  
flw     $6     $0     620
fsub    $17    $1     $23  
flw     $18    $0     448
fsw     $6     $0     -1620
fsub    $23    $18    $6   
fsub    $29    $5     $1   
fsub    $11    $26    $14  
fadd    $10    $2     $2   
fadd    $14    $11    $30  
