----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
sll     $9     $15    $31  
add     $23    $20    $14  
flt     $23    $28    $11  
srl     $3     $29    $7   
fsub    $17    $1     $25  
add     $1     $19    $22  
sll     $16    $28    $12  
sll     $22    $12    $29  
fclass  $15    $16  
srl     $10    $6     $0   
sll     $23    $28    $11  
slt     $22    $23    $9   
flt     $25    $6     $3   
sub     $30    $13    $4   
fsub    $10    $7     $17  
sll     $25    $2     $31  
addi    $18    $0     840
flt     $15    $13    $26  
sw      $4     $0     44
fsw     $10    $0     820
sub     $29    $4     $10  
fadd    $29    $4     $24  
flw     $19    $0     -1864
flt     $11    $28    $30  
fsub    $17    $29    $24  
sll     $20    $15    $23  
addi    $8     $0     -400
sub     $17    $1     $26  
add     $10    $9     $15  
flt     $19    $9     $13  
srl     $1     $23    $3   
fsw     $2     $0     1960
srl     $21    $19    $27  
add     $5     $29    $19  
lw      $3     $0     -212
fclass  $20    $23  
add     $17    $18    $21  
slt     $17    $0     $31  
fclass  $15    $2   
srl     $8     $10    $19  
fadd    $10    $0     $8   
slt     $20    $29    $1   
sub     $15    $16    $24  
srl     $22    $14    $17  
sw      $27    $0     -52
add     $30    $1     $12  
add     $10    $23    $6   
lw      $17    $0     972
fadd    $7     $1     $24  
lw      $16    $0     616
add     $28    $3     $2   
fsw     $5     $0     -956
sw      $8     $0     780
fsw     $26    $0     724
fclass  $19    $17  
sw      $8     $0     -1768
srl     $5     $6     $22  
lw      $7     $0     -1504
fclass  $12    $9   
srl     $8     $22    $20  
slt     $19    $18    $21  
add     $24    $7     $21  
fclass  $18    $17  
addi    $13    $0     -848
flw     $23    $0     -132
fsw     $2     $0     -1608
addi    $12    $0     -136
add     $31    $0     $24  
fclass  $26    $19  
fclass  $20    $21  
fclass  $9     $13  
srl     $4     $25    $1   
flt     $27    $18    $18  
fclass  $18    $7   
flw     $28    $0     -1876
flt     $18    $25    $12  
sw      $17    $0     -592
lw      $15    $0     -1784
flt     $24    $6     $23  
sll     $19    $14    $4   
lw      $1     $0     -196
lw      $19    $0     976
lw      $20    $0     -540
sw      $18    $0     996
srl     $10    $20    $16  
fadd    $12    $25    $4   
slt     $6     $16    $0   
sw      $14    $0     236
lw      $11    $0     1412
sub     $21    $28    $16  
flt     $14    $11    $4   
slt     $10    $12    $23  
flw     $3     $0     1340
slt     $4     $26    $14  
addi    $29    $0     600
flw     $14    $0     -924
sll     $8     $1     $5   
sw      $2     $0     -1304
addi    $23    $0     -1600
lw      $31    $0     1924
fclass  $27    $15  
sll     $17    $15    $23  
lw      $28    $0     -972
flt     $15    $4     $31  
lw      $26    $0     732
flw     $21    $0     1816
add     $23    $16    $22  
fadd    $17    $28    $15  
fsw     $17    $0     -732
addi    $3     $0     1188
addi    $22    $0     -1644
sll     $25    $25    $23  
sll     $17    $11    $3   
fsw     $24    $0     -920
addi    $29    $0     1748
sw      $14    $0     -4
fadd    $31    $5     $17  
sub     $19    $19    $20  
lw      $4     $0     428
fclass  $3     $7   
srl     $1     $6     $1   
add     $16    $1     $8   
sw      $14    $0     -868
fsw     $26    $0     -448
sw      $25    $0     512
fclass  $24    $5   
lw      $14    $0     -1172
sub     $19    $13    $17  
flt     $30    $21    $9   
flw     $11    $0     748
sub     $1     $30    $7   
add     $10    $15    $6   
sub     $23    $1     $3   
sll     $26    $19    $16  
flt     $30    $7     $6   
flt     $20    $7     $30  
fclass  $22    $1   
sw      $30    $0     1892
sub     $3     $22    $24  
sll     $31    $14    $14  
lw      $31    $0     -856
addi    $31    $0     512
fsub    $14    $20    $4   
fclass  $12    $25  
sw      $6     $0     -348
fadd    $20    $2     $3   
sw      $18    $0     -1728
sll     $3     $14    $27  
slt     $24    $27    $7   
fsub    $8     $23    $13  
fsub    $29    $14    $2   
sll     $31    $12    $13  
fsub    $15    $0     $3   
flt     $16    $11    $1   
sub     $14    $15    $8   
flt     $24    $16    $1   
srl     $3     $20    $24  
flw     $7     $0     -1732
lw      $23    $0     1996
addi    $26    $0     -348
sub     $9     $29    $23  
lw      $17    $0     -1352
slt     $17    $0     $20  
addi    $7     $0     1664
fsw     $15    $0     1844
sll     $5     $4     $28  
add     $14    $11    $24  
sw      $19    $0     1400
lw      $31    $0     -1284
flt     $29    $19    $22  
add     $30    $20    $1   
flt     $28    $9     $9   
fsw     $16    $0     -360
fclass  $25    $29  
fadd    $28    $30    $4   
srl     $29    $21    $26  
fclass  $20    $4   
sw      $14    $0     896
lw      $22    $0     -1336
fsub    $23    $11    $4   
fadd    $6     $29    $24  
srl     $6     $22    $12  
srl     $13    $21    $22  
sll     $13    $11    $16  
flw     $25    $0     -568
sll     $27    $24    $8   
sub     $9     $26    $23  
fsw     $18    $0     -1056
fclass  $27    $5   
flt     $29    $4     $11  
sw      $31    $0     520
sub     $25    $22    $3   
add     $8     $22    $23  
sw      $26    $0     1356
add     $27    $28    $10  
add     $11    $14    $19  
slt     $11    $18    $9   
fadd    $21    $31    $3   
flw     $7     $0     -1160
addi    $15    $0     -1572
sll     $13    $6     $19  
lw      $25    $0     -1148
sll     $22    $2     $29  
lw      $16    $0     1896
sub     $9     $13    $23  
fadd    $2     $18    $9   
fadd    $16    $11    $30  
slt     $17    $24    $20  
sub     $11    $24    $10  
srl     $17    $2     $26  
fsw     $1     $0     1316
add     $24    $30    $23  
fsub    $10    $26    $9   
srl     $23    $14    $11  
sll     $24    $14    $19  
fsw     $25    $0     -320
fclass  $1     $9   
