----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fsub    $21    $3     $19  
fsub    $13    $0     $25  
flw     $6     $0     -160
fadd    $18    $24    $11  
flw     $20    $0     -1372
fsw     $17    $0     16
fsw     $17    $0     -1304
fadd    $27    $22    $30  
flw     $27    $0     784
fadd    $1     $5     $19  
flw     $20    $0     -480
fsw     $0     $0     -616
fadd    $1     $6     $20  
flw     $18    $0     -1428
fsub    $31    $2     $21  
fadd    $28    $7     $17  
fsw     $24    $0     1328
flw     $22    $0     1140
flw     $28    $0     2024
fadd    $10    $27    $14  
fsw     $5     $0     1924
flw     $24    $0     -1160
flw     $12    $0     928
flw     $14    $0     1168
flw     $2     $0     552
flw     $31    $0     -16
fsub    $9     $13    $19  
flw     $25    $0     552
flw     $15    $0     76
flw     $8     $0     -296
flw     $27    $0     -1936
fsw     $9     $0     1348
fsw     $6     $0     1908
fadd    $29    $21    $16  
fsw     $27    $0     256
fsw     $12    $0     1632
fadd    $26    $18    $29  
fadd    $26    $21    $17  
fadd    $2     $3     $2   
flw     $4     $0     792
fsw     $23    $0     -368
fsw     $23    $0     -1060
fsw     $3     $0     1136
fsw     $27    $0     -180
fadd    $24    $18    $3   
flw     $11    $0     -616
fsub    $17    $2     $3   
fadd    $29    $5     $4   
flw     $29    $0     1120
flw     $23    $0     -1756
fsub    $8     $24    $17  
flw     $31    $0     -780
flw     $30    $0     408
fadd    $30    $14    $4   
fadd    $22    $14    $21  
fsub    $26    $4     $29  
fadd    $19    $13    $6   
fadd    $29    $3     $21  
flw     $21    $0     -888
flw     $2     $0     1448
fsub    $16    $12    $11  
fsub    $19    $18    $19  
flw     $4     $0     -992
fsub    $5     $31    $25  
fsw     $20    $0     1564
flw     $26    $0     1048
flw     $21    $0     -800
fsw     $13    $0     908
fsw     $4     $0     1300
flw     $28    $0     1888
fsw     $23    $0     1524
fadd    $13    $3     $29  
fsub    $10    $1     $8   
fsub    $18    $1     $15  
fadd    $26    $27    $27  
fsub    $3     $4     $8   
fsw     $13    $0     -1796
fadd    $19    $20    $0   
fsub    $9     $0     $9   
fsw     $8     $0     260
fsw     $23    $0     1064
flw     $1     $0     -776
fsw     $3     $0     356
flw     $21    $0     -1508
fadd    $29    $18    $29  
flw     $2     $0     -2012
fadd    $24    $21    $10  
fsw     $29    $0     236
fsub    $20    $24    $19  
fsw     $0     $0     228
flw     $2     $0     1632
fsub    $29    $0     $16  
fsw     $13    $0     1080
flw     $3     $0     -308
fsw     $21    $0     1676
flw     $10    $0     1056
flw     $26    $0     836
flw     $29    $0     -936
fadd    $25    $16    $1   
flw     $24    $0     -1748
fsw     $7     $0     1288
fadd    $1     $0     $1   
fadd    $23    $13    $1   
fsub    $23    $28    $10  
flw     $25    $0     1804
fsub    $3     $27    $28  
fadd    $15    $11    $1   
flw     $23    $0     -524
fsw     $23    $0     1280
fsub    $18    $16    $2   
fsw     $30    $0     -1232
fsub    $26    $7     $24  
fadd    $20    $21    $6   
fadd    $2     $3     $7   
fsub    $5     $6     $14  
fadd    $8     $8     $16  
fsw     $16    $0     -940
fadd    $1     $8     $16  
fadd    $11    $31    $26  
fadd    $12    $1     $19  
fsw     $31    $0     -2028
flw     $15    $0     -1896
fsw     $29    $0     -1996
fsub    $2     $28    $9   
fsw     $23    $0     -644
fsw     $15    $0     20
flw     $23    $0     1492
fadd    $4     $9     $9   
flw     $19    $0     -624
flw     $25    $0     -1200
flw     $22    $0     952
fsub    $24    $2     $6   
fadd    $28    $2     $30  
fadd    $24    $25    $17  
flw     $18    $0     936
fsw     $17    $0     -392
flw     $28    $0     -1156
fsw     $1     $0     -276
fsub    $26    $26    $19  
fsub    $24    $30    $3   
fadd    $5     $23    $30  
fadd    $24    $1     $12  
fsw     $27    $0     948
fadd    $29    $26    $18  
fsw     $2     $0     -1268
flw     $3     $0     1040
fadd    $30    $22    $13  
flw     $3     $0     -1572
fsw     $4     $0     344
fsub    $25    $12    $0   
fadd    $2     $24    $17  
flw     $15    $0     -596
flw     $26    $0     1136
flw     $23    $0     -1500
fsub    $16    $26    $14  
fadd    $7     $24    $22  
fsub    $18    $27    $15  
fsub    $8     $2     $23  
fadd    $30    $23    $0   
fadd    $26    $22    $16  
fsub    $25    $11    $8   
flw     $28    $0     1556
flw     $24    $0     -1744
flw     $9     $0     1108
fsub    $16    $22    $0   
flw     $12    $0     -1452
fadd    $18    $25    $29  
fsub    $12    $0     $24  
flw     $31    $0     -1920
fsw     $24    $0     -576
fadd    $29    $31    $6   
fadd    $27    $26    $15  
fsub    $30    $3     $24  
fadd    $16    $9     $15  
fsub    $6     $2     $27  
fsub    $6     $28    $18  
fsub    $13    $11    $9   
fadd    $28    $16    $7   
fsw     $6     $0     -644
flw     $26    $0     -664
flw     $24    $0     1648
fsw     $3     $0     -1188
fadd    $1     $15    $26  
fsub    $15    $2     $20  
flw     $16    $0     1648
fadd    $30    $22    $13  
fsub    $18    $20    $20  
fsub    $16    $1     $6   
fadd    $11    $7     $4   
flw     $5     $0     -1656
fsw     $17    $0     1256
fadd    $16    $2     $22  
flw     $24    $0     1440
flw     $22    $0     1380
flw     $2     $0     -1416
fsw     $0     $0     -12
fsub    $11    $29    $23  
fsw     $11    $0     880
fsw     $5     $0     748
fsub    $4     $27    $3   
flw     $5     $0     1188
fadd    $12    $23    $3   
fsw     $20    $0     -872
fadd    $22    $30    $2   
flw     $10    $0     1284
fsw     $29    $0     -1552
fsw     $21    $0     -1108
