----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
flw     $31    $0     -772
fsw     $4     $0     1104
fsw     $6     $0     -492
flw     $2     $0     1164
fsw     $27    $0     -564
flw     $11    $0     652
flw     $23    $0     1044
fadd    $5     $30    $0   
fsw     $11    $0     92
fadd    $27    $29    $8   
fsw     $22    $0     -1992
flw     $28    $0     -1000
flw     $23    $0     1940
fsw     $22    $0     -672
fsub    $18    $3     $26  
fsw     $21    $0     -1860
fsub    $6     $27    $12  
fsw     $3     $0     -876
flw     $30    $0     -1792
flw     $31    $0     -4
fadd    $18    $23    $13  
fsub    $8     $9     $22  
flw     $28    $0     -556
fsw     $23    $0     -1188
fsub    $28    $29    $23  
fadd    $21    $12    $0   
fsw     $27    $0     1404
fsub    $9     $29    $22  
fadd    $4     $8     $16  
fsub    $9     $9     $29  
flw     $7     $0     -272
fsub    $22    $11    $24  
fadd    $6     $9     $8   
flw     $30    $0     1100
fsw     $13    $0     -368
fsub    $2     $3     $31  
fadd    $7     $16    $10  
flw     $23    $0     1284
flw     $3     $0     120
fadd    $28    $20    $2   
fsub    $8     $23    $6   
fsub    $30    $29    $25  
fadd    $16    $7     $11  
fadd    $22    $3     $4   
fsw     $22    $0     596
fadd    $23    $12    $21  
fsw     $21    $0     -516
fsw     $21    $0     936
flw     $19    $0     1516
fadd    $18    $22    $20  
fsub    $11    $18    $7   
fsw     $12    $0     352
fadd    $9     $18    $24  
fsub    $4     $26    $7   
fsub    $1     $13    $27  
fsw     $7     $0     248
fsw     $10    $0     -1284
fadd    $17    $10    $28  
fsw     $9     $0     -1488
fadd    $13    $10    $16  
fadd    $14    $6     $13  
fsw     $25    $0     632
fsw     $17    $0     64
fadd    $28    $27    $1   
fsw     $3     $0     296
flw     $24    $0     248
flw     $30    $0     20
fadd    $29    $22    $19  
flw     $30    $0     1384
flw     $9     $0     1708
fadd    $11    $22    $14  
fsw     $9     $0     668
flw     $25    $0     -732
flw     $30    $0     -1276
fadd    $29    $7     $30  
fsw     $26    $0     -840
fadd    $6     $7     $14  
flw     $13    $0     -1392
fsw     $10    $0     -720
flw     $15    $0     460
fsw     $11    $0     -1876
flw     $22    $0     760
fsub    $30    $18    $26  
fsub    $4     $18    $27  
fsub    $31    $13    $4   
fsw     $0     $0     -1964
flw     $7     $0     -888
fsub    $24    $2     $0   
fsub    $10    $5     $1   
fsw     $15    $0     1528
fsw     $14    $0     -252
flw     $18    $0     676
flw     $26    $0     -1816
fsw     $9     $0     -120
fsub    $30    $11    $20  
fsw     $3     $0     -1972
fadd    $24    $24    $12  
fsw     $11    $0     -1000
fsub    $19    $4     $14  
fsub    $13    $7     $19  
fsw     $12    $0     -1200
fsub    $28    $30    $12  
flw     $31    $0     -304
fadd    $2     $14    $11  
fadd    $19    $0     $24  
flw     $6     $0     1408
fsub    $29    $0     $11  
fsub    $4     $3     $17  
flw     $31    $0     -1036
flw     $26    $0     1972
fadd    $27    $16    $9   
flw     $17    $0     224
fsub    $21    $22    $4   
fsw     $23    $0     1920
fsw     $16    $0     -1100
fadd    $10    $4     $1   
fadd    $9     $4     $27  
fsub    $27    $22    $6   
fadd    $24    $15    $18  
fsub    $16    $8     $21  
fadd    $23    $1     $6   
flw     $20    $0     952
fsw     $3     $0     -684
flw     $31    $0     180
fadd    $24    $25    $5   
fsw     $8     $0     -1104
fadd    $21    $18    $30  
flw     $22    $0     1048
flw     $13    $0     1908
fsub    $11    $31    $31  
fsw     $25    $0     1900
flw     $28    $0     -1600
fsub    $26    $22    $6   
flw     $31    $0     -308
fadd    $26    $20    $9   
flw     $16    $0     -192
flw     $19    $0     1124
fsw     $25    $0     -1712
flw     $8     $0     108
fadd    $26    $4     $18  
flw     $6     $0     -532
fsub    $17    $3     $14  
fsw     $8     $0     -1136
fadd    $3     $2     $11  
fsw     $12    $0     196
flw     $26    $0     -728
fadd    $4     $28    $15  
flw     $10    $0     1132
fsub    $18    $0     $20  
fsub    $27    $23    $10  
fsw     $19    $0     -768
fsw     $16    $0     1892
flw     $31    $0     1544
fadd    $6     $10    $1   
fsub    $19    $16    $13  
fsub    $9     $25    $25  
fadd    $31    $18    $20  
fsub    $13    $14    $11  
fsub    $9     $23    $22  
flw     $19    $0     724
fsub    $10    $25    $22  
fadd    $1     $17    $23  
fsw     $14    $0     1512
fsub    $13    $26    $19  
fadd    $25    $11    $30  
flw     $2     $0     828
fadd    $23    $30    $4   
fsw     $20    $0     968
flw     $14    $0     972
fadd    $6     $18    $9   
fsw     $21    $0     824
fsub    $30    $25    $12  
flw     $31    $0     344
fsw     $21    $0     -580
flw     $3     $0     -208
fsub    $21    $30    $6   
fsub    $28    $14    $7   
fadd    $31    $17    $8   
fsw     $0     $0     672
fsw     $0     $0     28
flw     $27    $0     1300
fadd    $31    $3     $5   
fadd    $3     $14    $2   
flw     $28    $0     -520
fsw     $2     $0     -1104
flw     $10    $0     412
fsub    $1     $15    $20  
fadd    $28    $5     $6   
fadd    $11    $3     $14  
flw     $10    $0     -1992
flw     $23    $0     188
fsw     $4     $0     -520
fadd    $11    $12    $11  
flw     $13    $0     -400
flw     $19    $0     1348
flw     $22    $0     904
fsub    $5     $18    $20  
flw     $24    $0     1120
flw     $7     $0     -2000
fsub    $31    $25    $21  
fsub    $3     $22    $4   
flw     $26    $0     -712
fadd    $30    $17    $1   
flw     $12    $0     -1356
fsw     $3     $0     -1912
flw     $3     $0     1164
fadd    $8     $8     $26  
