----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fclass  $6     $18  
srl     $18    $30    $6   
fsub    $9     $1     $9   
sll     $30    $30    $8   
sub     $28    $29    $22  
sw      $0     $0     96
slt     $20    $7     $22  
slt     $22    $26    $20  
fsw     $18    $0     1160
fadd    $13    $0     $12  
slt     $28    $4     $22  
fclass  $19    $4   
sw      $19    $0     -1244
fadd    $31    $17    $28  
fsub    $4     $17    $30  
addi    $10    $0     -1072
addi    $26    $0     520
fsw     $24    $0     60
addi    $2     $0     900
fclass  $1     $4   
flw     $23    $0     -708
fclass  $26    $11  
fsub    $15    $6     $8   
fadd    $14    $2     $1   
fsub    $3     $21    $19  
add     $23    $0     $5   
lw      $27    $0     1304
lw      $9     $0     1808
fclass  $10    $16  
slt     $19    $11    $4   
fadd    $2     $5     $23  
flw     $8     $0     1756
flw     $26    $0     -1440
add     $28    $0     $4   
sll     $29    $22    $23  
flt     $18    $4     $31  
fsub    $28    $8     $19  
srl     $23    $31    $20  
fadd    $4     $7     $1   
fsw     $11    $0     1712
sw      $11    $0     752
slt     $17    $1     $9   
fadd    $14    $8     $24  
sw      $5     $0     132
flw     $9     $0     1888
sub     $22    $19    $0   
slt     $6     $30    $8   
sub     $16    $6     $20  
fsub    $25    $0     $16  
fsub    $9     $12    $19  
fsub    $15    $13    $28  
sll     $7     $21    $17  
fsub    $9     $18    $1   
lw      $13    $0     1036
flt     $13    $27    $5   
fsub    $11    $29    $31  
flt     $11    $29    $30  
sub     $17    $22    $2   
slt     $10    $29    $29  
sub     $11    $24    $13  
addi    $20    $0     1344
slt     $24    $1     $22  
srl     $8     $22    $20  
fsw     $12    $0     -140
fsub    $13    $1     $11  
srl     $11    $16    $27  
sub     $16    $2     $1   
flw     $10    $0     -776
sw      $23    $0     588
flw     $3     $0     2000
slt     $31    $22    $14  
srl     $20    $15    $0   
fclass  $16    $8   
fclass  $4     $26  
addi    $23    $0     -436
fadd    $18    $3     $26  
addi    $11    $0     -1424
srl     $10    $12    $18  
flt     $10    $29    $23  
fadd    $17    $28    $28  
slt     $17    $23    $13  
sll     $19    $4     $20  
fadd    $10    $23    $20  
add     $27    $5     $4   
sll     $6     $6     $20  
slt     $7     $5     $18  
fsw     $6     $0     1256
slt     $12    $6     $10  
addi    $28    $0     -576
fsub    $16    $16    $30  
slt     $4     $0     $15  
flw     $6     $0     -1100
flt     $15    $14    $0   
fadd    $3     $29    $27  
fadd    $14    $18    $7   
slt     $20    $31    $26  
srl     $20    $19    $17  
srl     $8     $19    $13  
flt     $15    $20    $27  
flw     $14    $0     1132
sw      $4     $0     -1604
flw     $26    $0     540
fadd    $7     $15    $25  
flt     $29    $5     $19  
sw      $0     $0     1136
lw      $31    $0     -2028
fsw     $9     $0     -420
add     $3     $19    $21  
add     $25    $7     $2   
addi    $7     $0     1040
addi    $28    $0     1640
sll     $21    $11    $31  
add     $12    $8     $12  
add     $5     $4     $29  
add     $12    $11    $7   
fadd    $9     $25    $5   
sub     $11    $23    $24  
add     $5     $5     $8   
srl     $21    $8     $5   
sub     $11    $7     $5   
flt     $1     $2     $31  
lw      $12    $0     1808
sll     $11    $30    $12  
fsw     $14    $0     1256
srl     $22    $18    $17  
slt     $24    $30    $24  
lw      $6     $0     -1184
fclass  $22    $16  
fsub    $21    $6     $1   
lw      $18    $0     1004
fsub    $7     $29    $4   
lw      $22    $0     560
srl     $9     $15    $23  
fsw     $17    $0     -428
sll     $20    $15    $27  
srl     $9     $16    $27  
fclass  $13    $15  
flw     $15    $0     1440
lw      $11    $0     988
slt     $21    $9     $9   
fsw     $26    $0     -1428
add     $4     $1     $10  
slt     $22    $29    $18  
fadd    $22    $15    $19  
flw     $25    $0     260
srl     $7     $19    $23  
fsub    $24    $18    $26  
addi    $12    $0     -904
fadd    $23    $8     $28  
addi    $15    $0     1152
srl     $10    $11    $3   
fsub    $24    $2     $14  
slt     $30    $17    $9   
slt     $18    $11    $21  
fsub    $18    $27    $23  
flw     $31    $0     1020
fsw     $16    $0     -76
sub     $4     $23    $7   
fadd    $25    $18    $12  
sll     $4     $15    $18  
lw      $17    $0     -136
flt     $18    $9     $27  
fsw     $0     $0     -1740
fclass  $12    $11  
add     $1     $24    $4   
slt     $9     $6     $0   
addi    $23    $0     2024
flw     $19    $0     128
addi    $25    $0     1532
flw     $2     $0     -1188
slt     $2     $5     $12  
sub     $10    $4     $4   
flw     $29    $0     -620
fsub    $28    $10    $10  
flt     $23    $18    $30  
fclass  $7     $8   
fsw     $18    $0     296
sub     $5     $7     $4   
sll     $25    $3     $29  
flw     $29    $0     1228
addi    $23    $0     -1424
fsw     $20    $0     1672
addi    $5     $0     -316
sll     $2     $14    $4   
slt     $14    $17    $0   
fclass  $24    $6   
fsw     $12    $0     -1052
fadd    $8     $7     $1   
flw     $3     $0     1516
srl     $24    $16    $2   
sub     $8     $30    $29  
fclass  $22    $24  
addi    $26    $0     -1864
srl     $29    $25    $4   
lw      $29    $0     -1712
fsw     $20    $0     -36
sw      $11    $0     -1212
fadd    $7     $25    $5   
fadd    $29    $20    $11  
flw     $18    $0     612
fsw     $6     $0     -1440
sll     $6     $14    $12  
fsw     $24    $0     1556
srl     $3     $28    $4   
flw     $5     $0     -792
add     $1     $11    $31  
addi    $14    $0     1248
sub     $14    $1     $11  
flw     $22    $0     -28
lw      $11    $0     996
fclass  $14    $0   
sw      $19    $0     -380
addi    $4     $0     -1316
add     $2     $20    $19  
