----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fadd    $4     $18    $31  
flw     $6     $0     -1776
srl     $20    $28    $11  
sw      $10    $0     -856
flt     $15    $13    $31  
flt     $30    $13    $22  
addi    $22    $0     704
flw     $15    $0     1740
fclass  $24    $23  
fadd    $2     $3     $25  
sw      $9     $0     -208
sw      $30    $0     876
addi    $11    $0     -820
add     $8     $26    $1   
fclass  $27    $11  
add     $23    $6     $4   
addi    $12    $0     -336
addi    $21    $0     -280
fadd    $31    $2     $17  
slt     $28    $13    $15  
flt     $27    $1     $21  
flt     $15    $14    $16  
srl     $7     $24    $24  
sw      $27    $0     388
srl     $14    $26    $19  
flt     $30    $7     $1   
sub     $24    $20    $18  
slt     $18    $8     $4   
sub     $10    $18    $19  
flt     $9     $0     $24  
sll     $10    $22    $29  
slt     $21    $4     $5   
sub     $4     $1     $24  
sub     $27    $12    $22  
fclass  $27    $11  
slt     $26    $5     $21  
fclass  $28    $24  
slt     $8     $19    $15  
fsw     $4     $0     1488
srl     $6     $2     $25  
add     $4     $30    $20  
fsw     $9     $0     456
slt     $2     $1     $29  
sll     $20    $0     $23  
srl     $17    $28    $22  
lw      $30    $0     -1808
fclass  $28    $11  
addi    $13    $0     -676
flt     $13    $19    $1   
slt     $15    $1     $15  
flt     $8     $17    $13  
sll     $24    $1     $3   
sw      $26    $0     -1344
fsw     $31    $0     1664
fsw     $29    $0     936
flw     $10    $0     1064
slt     $19    $16    $14  
fsub    $12    $8     $17  
add     $26    $25    $8   
sw      $27    $0     -1336
add     $25    $9     $14  
addi    $27    $0     -376
add     $3     $18    $25  
slt     $6     $17    $30  
lw      $30    $0     -180
fsw     $31    $0     -1096
flt     $29    $15    $10  
fsw     $2     $0     -772
fsw     $8     $0     -24
addi    $18    $0     -1124
srl     $13    $10    $21  
sw      $11    $0     -1924
addi    $1     $0     -1116
lw      $20    $0     860
add     $12    $22    $31  
sw      $6     $0     984
addi    $27    $0     764
lw      $10    $0     1072
fsub    $16    $12    $9   
fsub    $24    $16    $24  
fsw     $17    $0     1272
addi    $7     $0     -952
flt     $19    $5     $26  
fsw     $2     $0     -160
slt     $1     $22    $16  
fsub    $12    $29    $2   
sw      $26    $0     1152
sw      $28    $0     -1380
sll     $8     $31    $4   
flt     $1     $11    $20  
sll     $31    $23    $13  
fsw     $27    $0     -476
flw     $31    $0     992
add     $17    $6     $1   
flw     $13    $0     212
sw      $16    $0     -1200
sub     $30    $16    $27  
sw      $17    $0     -1244
slt     $6     $9     $0   
sw      $29    $0     -1024
srl     $11    $22    $16  
fclass  $9     $30  
lw      $18    $0     1940
fsw     $28    $0     464
add     $16    $13    $3   
fclass  $27    $22  
srl     $19    $18    $2   
sub     $8     $27    $25  
sub     $9     $30    $12  
fclass  $13    $13  
addi    $23    $0     -1512
srl     $1     $28    $10  
flw     $22    $0     -1232
sll     $17    $14    $3   
slt     $16    $18    $1   
fsub    $1     $25    $9   
lw      $29    $0     204
addi    $15    $0     1660
fsw     $12    $0     -868
flw     $21    $0     2000
flt     $4     $18    $12  
flt     $18    $23    $26  
srl     $9     $27    $4   
flw     $7     $0     -1632
fsw     $15    $0     1300
sub     $4     $15    $9   
sub     $9     $31    $27  
fadd    $8     $6     $2   
addi    $16    $0     -1144
srl     $12    $9     $31  
addi    $9     $0     1664
fadd    $31    $30    $31  
srl     $19    $18    $16  
flw     $27    $0     -1388
sub     $8     $21    $18  
fsw     $13    $0     1924
fclass  $27    $17  
flt     $13    $0     $12  
flw     $16    $0     568
add     $7     $8     $29  
flt     $2     $20    $20  
lw      $12    $0     964
flt     $1     $27    $3   
srl     $31    $18    $13  
slt     $18    $15    $21  
add     $16    $23    $1   
flt     $2     $11    $31  
add     $5     $6     $29  
sll     $20    $7     $18  
srl     $11    $25    $12  
lw      $2     $0     676
add     $8     $5     $9   
fsub    $5     $15    $21  
flt     $5     $10    $30  
fsub    $1     $13    $22  
flw     $30    $0     1028
flw     $21    $0     -460
srl     $24    $26    $27  
sub     $6     $11    $25  
flw     $31    $0     -1020
fclass  $19    $27  
flt     $10    $1     $22  
flw     $5     $0     -900
fclass  $21    $4   
fadd    $20    $11    $7   
srl     $2     $20    $28  
sw      $0     $0     1768
flw     $3     $0     -956
sll     $16    $11    $8   
fclass  $16    $25  
sw      $25    $0     1720
flt     $31    $8     $30  
add     $2     $14    $25  
flw     $3     $0     1144
srl     $20    $23    $1   
fsw     $5     $0     144
slt     $2     $13    $24  
fadd    $5     $26    $23  
lw      $9     $0     -1544
flt     $10    $0     $20  
fclass  $5     $0   
fsw     $0     $0     -1000
flw     $3     $0     -368
lw      $9     $0     -444
srl     $16    $31    $9   
flt     $29    $14    $1   
flw     $29    $0     972
sll     $26    $1     $31  
add     $11    $3     $12  
flt     $20    $22    $4   
flw     $30    $0     1456
fadd    $13    $14    $24  
sll     $21    $16    $6   
addi    $18    $0     -644
flw     $31    $0     548
sw      $14    $0     -364
lw      $28    $0     748
sw      $8     $0     -936
addi    $3     $0     1808
sw      $3     $0     -828
fsw     $19    $0     504
add     $3     $23    $21  
sw      $13    $0     276
flw     $10    $0     312
fsub    $12    $21    $13  
flt     $29    $29    $20  
sll     $29    $9     $1   
fsw     $7     $0     1268
sub     $18    $0     $16  
flt     $29    $23    $31  
fsub    $24    $2     $4   
lw      $16    $0     1564
sw      $29    $0     236
fclass  $31    $20  
sw      $24    $0     -1196
addi    $21    $0     1164
fsw     $8     $0     1928
