----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
flw     $2     $0     -448
fadd    $28    $24    $22  
flw     $25    $0     84
fsub    $5     $23    $12  
fadd    $20    $21    $10  
flw     $23    $0     1432
fsw     $21    $0     -180
fsub    $31    $14    $20  
fsub    $3     $7     $10  
fsw     $9     $0     1632
fsub    $2     $2     $17  
fsub    $7     $21    $2   
flw     $9     $0     -1808
fsub    $13    $11    $15  
flw     $13    $0     -196
fsw     $11    $0     -588
flw     $28    $0     1008
flw     $30    $0     676
fsub    $13    $29    $0   
fsw     $22    $0     1936
fadd    $10    $19    $27  
fsw     $0     $0     1536
flw     $24    $0     -1544
fsub    $23    $14    $11  
fsub    $8     $11    $18  
fadd    $23    $14    $8   
fsub    $12    $25    $18  
fadd    $8     $8     $5   
fsub    $13    $31    $27  
fadd    $22    $24    $22  
flw     $18    $0     -808
fadd    $10    $21    $12  
fsw     $7     $0     904
flw     $21    $0     -816
fadd    $13    $26    $13  
fsub    $25    $27    $0   
fadd    $22    $26    $15  
fsw     $26    $0     -1496
flw     $3     $0     -920
fadd    $23    $14    $5   
fsw     $8     $0     -576
fsw     $4     $0     1640
flw     $25    $0     -1876
fadd    $2     $10    $12  
fadd    $23    $23    $5   
fadd    $15    $20    $10  
fadd    $3     $30    $21  
flw     $30    $0     364
fsw     $2     $0     1052
fsw     $9     $0     -1044
flw     $14    $0     1976
flw     $2     $0     -1428
fsub    $24    $9     $27  
fsw     $5     $0     972
fadd    $11    $9     $6   
fsub    $11    $9     $6   
fadd    $13    $31    $20  
fsub    $31    $13    $12  
fadd    $27    $18    $31  
fsw     $23    $0     1284
fsub    $28    $7     $22  
fsub    $10    $28    $14  
fsw     $14    $0     -1416
fadd    $11    $24    $29  
fadd    $25    $17    $24  
fsub    $23    $24    $17  
fadd    $4     $11    $13  
fsw     $26    $0     1880
fsub    $17    $15    $20  
fsub    $19    $0     $8   
fsw     $18    $0     1752
fsw     $30    $0     836
fadd    $16    $30    $20  
flw     $28    $0     476
flw     $27    $0     -600
fsw     $14    $0     848
fsw     $17    $0     -40
fadd    $2     $21    $13  
fadd    $1     $30    $17  
fsw     $1     $0     -644
fsub    $23    $28    $21  
fadd    $26    $26    $17  
flw     $11    $0     -140
fadd    $12    $19    $20  
fsw     $15    $0     40
fsub    $27    $18    $0   
flw     $21    $0     828
fsw     $21    $0     -972
fsub    $17    $13    $6   
flw     $31    $0     2000
fsw     $24    $0     -656
fadd    $26    $19    $8   
fadd    $1     $23    $30  
flw     $9     $0     -1760
flw     $27    $0     712
flw     $18    $0     200
fsw     $14    $0     -792
fsw     $30    $0     1824
flw     $7     $0     948
fadd    $5     $20    $30  
flw     $14    $0     -984
fsw     $21    $0     -1324
fadd    $25    $30    $21  
flw     $3     $0     28
fadd    $1     $31    $4   
fsub    $3     $6     $15  
fsw     $26    $0     -576
fsub    $2     $4     $30  
fsw     $28    $0     -1212
flw     $19    $0     -1936
fadd    $28    $15    $12  
flw     $16    $0     1580
fsw     $26    $0     -1896
fsub    $31    $3     $31  
fadd    $25    $8     $26  
fsub    $21    $22    $26  
fsub    $23    $9     $3   
flw     $21    $0     1056
fadd    $12    $20    $10  
flw     $29    $0     -1708
flw     $5     $0     -1776
fadd    $16    $4     $10  
fsw     $31    $0     276
fadd    $19    $8     $27  
fsw     $29    $0     320
fadd    $27    $9     $8   
flw     $14    $0     1724
fadd    $21    $6     $23  
fsub    $17    $5     $18  
flw     $25    $0     404
fadd    $17    $25    $12  
fsw     $30    $0     2008
fsub    $7     $10    $0   
flw     $11    $0     1420
fsw     $20    $0     840
flw     $24    $0     572
fadd    $13    $5     $4   
fsub    $12    $28    $7   
flw     $8     $0     -1880
fsw     $3     $0     1336
fadd    $17    $8     $26  
fsw     $30    $0     1216
fadd    $20    $10    $17  
fsub    $17    $18    $17  
fadd    $6     $24    $18  
fsw     $20    $0     1688
fsw     $19    $0     676
fsub    $28    $15    $7   
fsw     $14    $0     1068
fadd    $6     $9     $23  
fadd    $16    $26    $4   
flw     $24    $0     -1696
flw     $11    $0     1472
flw     $12    $0     -1124
flw     $22    $0     508
fsw     $30    $0     -976
fsub    $5     $9     $20  
fsw     $5     $0     1012
fadd    $19    $24    $1   
flw     $20    $0     964
fadd    $31    $13    $22  
fsw     $4     $0     -1536
fsub    $25    $22    $8   
fsw     $28    $0     1228
flw     $3     $0     884
fsw     $30    $0     -788
fadd    $27    $3     $4   
fsub    $15    $5     $1   
fsw     $2     $0     -1556
fsub    $14    $20    $19  
fadd    $9     $12    $9   
fsub    $27    $5     $0   
fsub    $26    $31    $29  
fadd    $22    $1     $2   
flw     $6     $0     676
fadd    $26    $12    $8   
fsw     $30    $0     -260
fsub    $15    $30    $15  
fadd    $14    $13    $22  
fsw     $25    $0     1164
fadd    $1     $16    $9   
fsub    $2     $2     $28  
fsw     $23    $0     -1192
fsw     $23    $0     1560
fadd    $1     $15    $28  
flw     $17    $0     1036
flw     $2     $0     -440
fadd    $31    $2     $30  
fsw     $1     $0     336
fadd    $31    $10    $19  
flw     $24    $0     -1316
fsw     $20    $0     -708
fadd    $16    $15    $16  
flw     $21    $0     -1444
flw     $8     $0     -1776
flw     $23    $0     740
fsub    $23    $5     $17  
flw     $9     $0     1984
fsw     $7     $0     1184
fsub    $13    $15    $12  
fsw     $11    $0     -1208
fsub    $1     $26    $5   
fsub    $14    $30    $27  
fadd    $26    $28    $10  
flw     $3     $0     -1300
fsub    $14    $10    $31  
