----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
flw     $29    $0     1300
flt     $13    $31    $30  
flt     $26    $25    $5   
sub     $9     $7     $15  
lw      $5     $0     1528
addi    $31    $0     -748
sub     $19    $20    $18  
fclass  $27    $4   
fclass  $18    $31  
add     $11    $15    $29  
srl     $20    $10    $19  
slt     $25    $25    $15  
addi    $15    $0     -4
add     $4     $16    $28  
sw      $15    $0     -1648
sub     $6     $19    $1   
sw      $10    $0     264
sw      $21    $0     1088
flt     $13    $13    $27  
lw      $21    $0     752
sll     $16    $28    $12  
fsub    $16    $28    $23  
fadd    $1     $14    $0   
sw      $21    $0     -1924
fclass  $12    $21  
sw      $10    $0     700
fsw     $4     $0     -1208
fclass  $7     $25  
srl     $16    $9     $23  
lw      $23    $0     1984
fclass  $4     $10  
fsub    $29    $2     $9   
fsub    $12    $3     $2   
sub     $18    $20    $30  
fclass  $27    $9   
add     $20    $13    $7   
slt     $23    $18    $31  
slt     $1     $8     $16  
lw      $31    $0     -1836
addi    $5     $0     1092
sw      $10    $0     980
slt     $25    $19    $12  
srl     $27    $27    $11  
fsub    $9     $0     $3   
fclass  $27    $0   
slt     $7     $15    $15  
slt     $3     $18    $29  
sll     $23    $17    $23  
slt     $3     $25    $22  
add     $26    $19    $0   
sll     $1     $15    $14  
fsw     $14    $0     556
fsw     $18    $0     820
fclass  $4     $29  
fsub    $14    $5     $23  
srl     $24    $6     $13  
flw     $18    $0     1732
slt     $5     $12    $28  
sw      $14    $0     1740
lw      $16    $0     -860
sw      $7     $0     -1424
srl     $25    $22    $31  
slt     $15    $30    $4   
fadd    $4     $0     $31  
sll     $6     $12    $31  
add     $10    $31    $7   
fclass  $21    $4   
flw     $8     $0     8
lw      $18    $0     1636
fsw     $18    $0     -1392
addi    $27    $0     -896
addi    $4     $0     912
fsub    $9     $7     $31  
lw      $10    $0     -416
fsub    $7     $25    $18  
sub     $17    $17    $18  
fsub    $31    $4     $0   
addi    $25    $0     -880
sll     $16    $16    $28  
sw      $22    $0     748
add     $8     $28    $28  
fsw     $19    $0     1712
fsub    $19    $28    $0   
sll     $8     $30    $4   
add     $25    $21    $15  
flw     $6     $0     -1040
sub     $27    $2     $12  
sll     $1     $13    $12  
flw     $30    $0     168
addi    $25    $0     1440
add     $28    $23    $24  
fsub    $6     $12    $8   
lw      $8     $0     888
add     $9     $16    $21  
sw      $3     $0     1664
flt     $26    $14    $26  
add     $25    $19    $20  
flt     $6     $11    $25  
fadd    $24    $4     $14  
sw      $12    $0     760
add     $10    $3     $23  
add     $12    $28    $27  
fsw     $18    $0     -1948
fclass  $23    $1   
fsub    $4     $8     $22  
slt     $24    $5     $4   
flw     $7     $0     620
sub     $1     $24    $30  
sll     $24    $8     $19  
add     $3     $28    $0   
sub     $26    $15    $15  
sw      $29    $0     -1392
fsw     $28    $0     -2036
srl     $13    $1     $23  
flt     $19    $8     $10  
addi    $11    $0     -4
sub     $10    $30    $27  
slt     $24    $4     $15  
srl     $4     $9     $15  
fadd    $3     $23    $14  
slt     $9     $10    $19  
fsw     $16    $0     -868
srl     $5     $3     $3   
addi    $26    $0     1924
addi    $5     $0     1896
addi    $13    $0     700
sw      $18    $0     -228
flw     $7     $0     844
addi    $4     $0     -176
srl     $6     $16    $9   
lw      $6     $0     -1592
sll     $27    $19    $26  
sll     $24    $11    $21  
sw      $0     $0     -800
sll     $2     $11    $2   
addi    $2     $0     -2000
slt     $30    $10    $19  
slt     $28    $1     $14  
sub     $19    $30    $9   
fsub    $22    $13    $4   
lw      $18    $0     -1556
slt     $27    $8     $7   
sub     $20    $28    $1   
sub     $19    $0     $13  
addi    $26    $0     -1804
sub     $15    $26    $7   
sw      $23    $0     -1432
lw      $19    $0     -1340
flt     $27    $26    $1   
fadd    $19    $2     $30  
sub     $9     $1     $12  
srl     $27    $18    $13  
sw      $9     $0     -1712
sw      $10    $0     1256
slt     $29    $13    $31  
addi    $4     $0     -1880
addi    $21    $0     -1492
fadd    $17    $17    $28  
fadd    $22    $5     $22  
slt     $4     $1     $7   
fsw     $29    $0     -576
fsub    $4     $12    $21  
fsw     $11    $0     -1032
sw      $13    $0     -532
lw      $19    $0     -704
sll     $7     $5     $13  
fclass  $11    $23  
add     $7     $22    $26  
fadd    $31    $0     $29  
slt     $7     $13    $24  
fsw     $29    $0     564
lw      $31    $0     -156
slt     $7     $31    $6   
fsw     $22    $0     -1116
fsub    $26    $13    $2   
lw      $29    $0     768
flt     $9     $13    $27  
flw     $29    $0     1164
add     $20    $10    $13  
slt     $1     $22    $14  
flt     $11    $24    $22  
sub     $9     $26    $11  
fclass  $4     $24  
flt     $13    $4     $30  
sw      $31    $0     -1016
sub     $25    $14    $18  
sw      $0     $0     -1840
flt     $26    $16    $21  
fadd    $29    $10    $27  
add     $20    $4     $16  
flt     $31    $3     $25  
add     $17    $31    $7   
add     $16    $13    $14  
sll     $31    $1     $2   
slt     $19    $17    $16  
fsub    $20    $12    $27  
fclass  $9     $31  
fsub    $11    $2     $2   
sll     $10    $31    $21  
flw     $29    $0     -1148
srl     $1     $29    $14  
sw      $14    $0     28
flw     $30    $0     964
add     $7     $28    $13  
srl     $21    $21    $6   
flw     $28    $0     1600
fsw     $23    $0     1292
fclass  $23    $22  
flt     $17    $7     $28  
add     $15    $9     $19  
srl     $16    $2     $3   
fadd    $27    $29    $0   
lw      $21    $0     1360
addi    $21    $0     1504
fsub    $26    $3     $15  
flw     $24    $0     768
