----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fsw     $0     $0     -644
lw      $30    $0     1252
slt     $6     $8     $19  
sw      $2     $0     792
fclass  $9     $22  
fclass  $7     $16  
flt     $25    $25    $14  
lw      $26    $0     -1012
slt     $20    $7     $25  
sw      $31    $0     76
fclass  $5     $2   
add     $22    $17    $9   
flt     $18    $14    $9   
flw     $25    $0     -780
sw      $11    $0     -1892
sub     $26    $22    $11  
slt     $22    $12    $11  
fsub    $2     $11    $19  
slt     $29    $20    $13  
fsub    $11    $30    $28  
sll     $19    $10    $4   
fadd    $25    $30    $0   
slt     $11    $13    $26  
sw      $12    $0     1704
fclass  $21    $7   
fclass  $10    $30  
fsub    $23    $23    $29  
sub     $21    $12    $6   
addi    $20    $0     936
sub     $6     $3     $2   
add     $14    $28    $3   
fsw     $17    $0     -1080
flw     $24    $0     -436
slt     $14    $28    $12  
add     $21    $16    $31  
fclass  $6     $18  
sw      $25    $0     576
sw      $31    $0     -348
lw      $1     $0     -168
sub     $24    $26    $6   
sub     $11    $1     $28  
slt     $2     $28    $25  
srl     $11    $14    $9   
fadd    $25    $8     $2   
fsub    $21    $30    $31  
flw     $20    $0     -1052
addi    $23    $0     348
sub     $8     $14    $15  
lw      $5     $0     468
flw     $15    $0     -1100
fsub    $12    $8     $27  
add     $2     $5     $5   
flw     $11    $0     1556
fclass  $29    $22  
sll     $26    $4     $14  
fsw     $8     $0     760
lw      $16    $0     -1140
slt     $5     $17    $20  
fclass  $6     $21  
fsw     $9     $0     -652
sub     $28    $23    $11  
addi    $2     $0     596
flt     $27    $0     $0   
lw      $19    $0     -480
sw      $0     $0     660
fsw     $27    $0     -76
flt     $11    $20    $1   
slt     $1     $10    $13  
add     $17    $31    $15  
fadd    $5     $4     $23  
lw      $25    $0     516
flt     $22    $16    $8   
flw     $1     $0     1492
flw     $8     $0     -1856
slt     $31    $25    $29  
addi    $10    $0     -1164
fsw     $21    $0     -1748
add     $9     $27    $23  
add     $1     $6     $0   
slt     $11    $27    $15  
add     $4     $4     $27  
srl     $4     $15    $4   
flw     $1     $0     -752
srl     $11    $28    $23  
addi    $1     $0     -388
slt     $5     $23    $29  
sw      $9     $0     652
lw      $16    $0     -108
slt     $3     $4     $28  
sub     $28    $5     $9   
add     $25    $22    $16  
srl     $21    $24    $22  
flt     $4     $30    $26  
fsw     $24    $0     -420
flt     $10    $25    $26  
fsw     $22    $0     -568
add     $18    $20    $9   
flt     $12    $24    $15  
slt     $28    $13    $0   
slt     $26    $29    $29  
fsw     $31    $0     924
flw     $22    $0     340
sub     $11    $20    $28  
fsub    $31    $13    $21  
sw      $4     $0     -692
addi    $1     $0     776
flw     $10    $0     1708
sll     $29    $23    $5   
srl     $23    $17    $25  
sub     $19    $12    $23  
addi    $17    $0     -680
srl     $5     $13    $12  
add     $3     $24    $22  
add     $17    $30    $15  
lw      $3     $0     1216
addi    $6     $0     -400
sub     $12    $10    $8   
fadd    $9     $3     $21  
add     $7     $21    $6   
sw      $4     $0     528
lw      $17    $0     -1924
fadd    $25    $7     $31  
fclass  $17    $21  
sub     $3     $5     $15  
fclass  $5     $20  
lw      $4     $0     -176
flt     $15    $20    $11  
flt     $15    $24    $6   
sub     $5     $18    $4   
fclass  $18    $14  
sw      $20    $0     1868
sw      $5     $0     1956
add     $19    $6     $24  
lw      $6     $0     828
sub     $30    $8     $30  
fsw     $12    $0     -124
flw     $10    $0     -1264
sll     $5     $31    $18  
slt     $2     $9     $23  
fadd    $21    $25    $17  
fclass  $20    $16  
slt     $23    $22    $12  
fsw     $1     $0     -1452
fadd    $10    $28    $11  
flt     $5     $21    $19  
srl     $8     $24    $2   
sll     $31    $26    $15  
srl     $26    $0     $20  
fsw     $27    $0     508
add     $14    $5     $30  
fsw     $12    $0     1816
fsw     $16    $0     -860
sll     $3     $2     $0   
fsw     $27    $0     836
addi    $5     $0     1364
sw      $2     $0     -236
add     $2     $28    $2   
sub     $4     $5     $9   
addi    $18    $0     1096
fsub    $15    $30    $21  
fadd    $6     $13    $29  
srl     $21    $9     $30  
sw      $28    $0     1892
fsub    $29    $20    $19  
flt     $21    $25    $25  
fsub    $21    $16    $20  
sub     $24    $22    $7   
flw     $21    $0     -2000
slt     $13    $15    $16  
slt     $8     $3     $19  
fadd    $23    $13    $30  
sw      $16    $0     692
fadd    $1     $27    $0   
fadd    $14    $31    $17  
addi    $27    $0     332
sll     $29    $21    $10  
fsw     $6     $0     -1944
fadd    $20    $0     $31  
sub     $13    $14    $23  
slt     $11    $27    $21  
flt     $5     $17    $28  
fsw     $15    $0     832
fclass  $21    $25  
sw      $5     $0     -1932
sll     $28    $19    $31  
sub     $18    $23    $3   
sll     $30    $14    $6   
srl     $17    $30    $27  
fsub    $20    $24    $29  
addi    $18    $0     -1904
fsub    $19    $17    $5   
fclass  $5     $1   
fclass  $21    $9   
add     $2     $29    $30  
addi    $1     $0     -788
flw     $22    $0     -484
add     $9     $24    $22  
srl     $17    $16    $17  
srl     $31    $21    $12  
fclass  $4     $30  
srl     $7     $25    $1   
fclass  $20    $30  
fsw     $2     $0     804
flt     $10    $20    $24  
fsub    $26    $4     $1   
lw      $4     $0     -1352
flw     $23    $0     1068
slt     $26    $22    $11  
fsw     $5     $0     -180
lw      $7     $0     -1156
add     $26    $15    $9   
fclass  $21    $7   
fsub    $25    $26    $19  
fsub    $31    $8     $7   
fadd    $12    $18    $16  
slt     $5     $15    $3   
