----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
slt     $7     $5     $23  
fsub    $17    $30    $14  
fsub    $6     $18    $5   
sw      $30    $0     1968
fadd    $18    $10    $29  
lw      $18    $0     84
fclass  $5     $20  
fsw     $2     $0     1076
sub     $7     $21    $20  
lw      $21    $0     -356
lw      $19    $0     1740
sw      $10    $0     1088
sw      $14    $0     1904
sub     $28    $20    $20  
fsw     $17    $0     516
flt     $14    $21    $3   
sub     $19    $24    $0   
addi    $5     $0     -848
fsw     $25    $0     -1500
add     $24    $5     $12  
lw      $24    $0     -1200
addi    $6     $0     -876
fsub    $30    $26    $6   
fclass  $11    $23  
fadd    $17    $6     $24  
sw      $26    $0     936
slt     $16    $6     $15  
fclass  $2     $25  
sw      $5     $0     1772
sll     $19    $23    $0   
lw      $26    $0     516
fclass  $21    $5   
fsw     $24    $0     528
flw     $10    $0     564
srl     $31    $25    $10  
flt     $12    $4     $29  
fsw     $13    $0     292
add     $25    $18    $3   
fadd    $26    $5     $2   
sll     $5     $25    $22  
slt     $23    $24    $5   
add     $23    $21    $10  
fadd    $18    $28    $16  
fsw     $24    $0     40
fclass  $25    $24  
flt     $21    $12    $25  
sll     $18    $4     $17  
srl     $2     $8     $29  
slt     $2     $19    $5   
fadd    $31    $4     $4   
sub     $2     $4     $28  
lw      $7     $0     920
lw      $26    $0     -112
addi    $21    $0     -660
addi    $5     $0     -1880
fsw     $5     $0     1044
fclass  $27    $12  
flw     $27    $0     -596
fsub    $19    $7     $5   
fsw     $3     $0     352
flw     $16    $0     52
sub     $28    $10    $6   
flt     $4     $30    $3   
slt     $21    $7     $1   
flt     $30    $17    $5   
sw      $31    $0     -1096
sw      $22    $0     -1824
sll     $24    $24    $17  
srl     $29    $21    $29  
sub     $18    $4     $10  
lw      $6     $0     -1816
fadd    $24    $21    $0   
sll     $10    $31    $27  
flt     $23    $31    $20  
fadd    $21    $5     $0   
sw      $20    $0     -172
srl     $17    $16    $31  
fadd    $31    $20    $26  
fclass  $4     $9   
sw      $18    $0     284
fclass  $7     $25  
flt     $22    $0     $19  
slt     $7     $10    $15  
fsw     $5     $0     -760
fsw     $17    $0     92
addi    $18    $0     260
flt     $13    $22    $11  
sub     $28    $13    $25  
add     $20    $18    $31  
sll     $31    $30    $10  
fadd    $22    $8     $24  
flt     $1     $14    $6   
lw      $3     $0     -1264
sw      $19    $0     1336
sll     $15    $0     $14  
sll     $19    $15    $27  
addi    $20    $0     1532
fclass  $13    $14  
flt     $12    $3     $12  
slt     $7     $10    $0   
add     $19    $24    $15  
sw      $1     $0     1800
flw     $5     $0     1184
fadd    $8     $25    $15  
slt     $9     $23    $26  
flw     $28    $0     1524
flt     $1     $25    $8   
flw     $22    $0     -108
fsw     $23    $0     720
sll     $1     $4     $4   
sub     $15    $14    $4   
addi    $27    $0     232
flt     $20    $2     $29  
fsub    $17    $23    $24  
add     $5     $28    $11  
lw      $22    $0     -776
addi    $14    $0     -1820
flt     $31    $9     $16  
lw      $8     $0     -460
fsub    $16    $8     $9   
fadd    $29    $26    $29  
srl     $7     $1     $29  
sll     $23    $16    $5   
fclass  $25    $20  
fsw     $2     $0     1560
addi    $2     $0     236
flw     $11    $0     -1496
fadd    $24    $9     $12  
lw      $3     $0     -1612
sw      $15    $0     1868
lw      $5     $0     2000
sll     $21    $5     $0   
flw     $6     $0     1424
add     $21    $6     $4   
lw      $3     $0     -2008
flt     $12    $3     $2   
fclass  $9     $4   
flw     $24    $0     -296
addi    $13    $0     -1112
fsw     $11    $0     132
flw     $30    $0     -964
fclass  $13    $27  
addi    $5     $0     -1140
fclass  $2     $31  
slt     $2     $29    $16  
srl     $15    $29    $28  
add     $29    $20    $5   
fclass  $23    $4   
fsw     $18    $0     508
add     $11    $16    $14  
fadd    $17    $29    $14  
fsub    $30    $22    $26  
lw      $28    $0     -440
fsw     $15    $0     -1396
lw      $10    $0     -400
addi    $31    $0     -1728
flt     $6     $12    $10  
sw      $13    $0     1104
fadd    $7     $31    $30  
fsw     $4     $0     1144
fadd    $3     $17    $16  
fadd    $9     $23    $23  
fsw     $22    $0     1732
fsub    $29    $20    $29  
add     $19    $23    $4   
sw      $16    $0     580
fclass  $14    $1   
sub     $24    $23    $12  
lw      $20    $0     296
fadd    $7     $16    $29  
lw      $16    $0     1352
sll     $2     $27    $17  
fsub    $20    $3     $11  
fsub    $18    $16    $18  
slt     $3     $25    $28  
fadd    $21    $2     $24  
fsw     $15    $0     -1248
fadd    $10    $19    $9   
fsw     $28    $0     1428
flw     $18    $0     836
fclass  $25    $0   
fadd    $30    $27    $8   
sw      $31    $0     760
fsub    $7     $5     $23  
sll     $6     $22    $9   
fsub    $24    $14    $16  
addi    $25    $0     644
fadd    $13    $21    $28  
srl     $4     $8     $2   
add     $4     $27    $19  
srl     $21    $27    $30  
flw     $20    $0     -1028
fclass  $5     $23  
add     $21    $6     $28  
fsw     $20    $0     580
sub     $5     $1     $31  
fadd    $9     $16    $22  
add     $31    $18    $2   
addi    $28    $0     -176
slt     $28    $20    $27  
sub     $4     $17    $28  
flw     $25    $0     312
sw      $11    $0     1988
add     $5     $4     $17  
flw     $30    $0     -436
flt     $2     $29    $19  
sub     $28    $31    $3   
fadd    $19    $3     $4   
lw      $7     $0     -1264
flt     $8     $23    $28  
flw     $8     $0     -224
add     $22    $26    $12  
srl     $9     $31    $0   
sll     $12    $25    $19  
fadd    $23    $22    $30  
slt     $18    $11    $6   
