----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fsw     $18    $0     1688
fsub    $3     $28    $12  
fsw     $9     $0     2000
fadd    $10    $1     $26  
flw     $29    $0     1796
flw     $12    $0     488
flw     $4     $0     1704
fadd    $28    $3     $6   
flw     $12    $0     1408
flw     $31    $0     244
fsw     $13    $0     1108
flw     $11    $0     1600
flw     $2     $0     1672
fadd    $16    $31    $13  
fsub    $11    $3     $27  
fsub    $1     $4     $1   
fsub    $8     $6     $6   
fadd    $9     $18    $21  
fadd    $9     $0     $19  
fsw     $23    $0     32
fsub    $12    $22    $22  
fadd    $2     $24    $25  
fadd    $3     $21    $31  
fadd    $2     $22    $23  
fsw     $22    $0     -1324
flw     $5     $0     -1588
fsub    $21    $30    $6   
fsub    $13    $19    $3   
fsw     $28    $0     -732
fsub    $8     $8     $29  
fsw     $3     $0     -1644
fsub    $30    $15    $29  
fsub    $4     $11    $16  
flw     $13    $0     -1896
fadd    $25    $28    $17  
fsw     $13    $0     -1836
fsw     $4     $0     1436
fsw     $5     $0     388
fadd    $22    $19    $13  
fsub    $9     $0     $23  
fsub    $12    $12    $5   
flw     $15    $0     -936
fadd    $13    $22    $26  
fsub    $30    $22    $3   
fsub    $29    $14    $13  
flw     $9     $0     -144
flw     $22    $0     1448
fsub    $22    $29    $2   
fsub    $7     $28    $3   
fsw     $1     $0     1288
fsub    $30    $20    $25  
fsw     $6     $0     -1492
flw     $14    $0     -484
fadd    $15    $15    $8   
fsw     $13    $0     -1724
flw     $25    $0     1576
fadd    $2     $16    $3   
fadd    $17    $30    $19  
flw     $11    $0     776
fadd    $30    $1     $20  
fadd    $12    $7     $28  
flw     $26    $0     1344
flw     $4     $0     1672
fadd    $13    $18    $0   
fsub    $6     $4     $26  
fadd    $10    $19    $17  
flw     $25    $0     664
flw     $2     $0     -1812
flw     $12    $0     -584
fadd    $26    $4     $0   
flw     $6     $0     764
flw     $16    $0     1516
flw     $25    $0     464
fadd    $31    $2     $16  
fsub    $21    $27    $26  
fadd    $18    $20    $26  
fadd    $8     $5     $13  
fsw     $8     $0     468
flw     $27    $0     -336
fsw     $28    $0     1632
fsub    $23    $10    $19  
fsw     $20    $0     1024
fadd    $11    $0     $0   
flw     $1     $0     156
flw     $30    $0     -1968
fsw     $3     $0     616
flw     $17    $0     1696
fsub    $22    $25    $23  
fadd    $10    $29    $6   
fsw     $19    $0     -2032
fadd    $16    $12    $11  
flw     $7     $0     1000
fsub    $15    $2     $31  
fsub    $26    $17    $7   
fsub    $19    $9     $19  
fadd    $15    $29    $17  
fsw     $6     $0     -1036
fadd    $23    $21    $29  
fadd    $2     $26    $10  
fsw     $11    $0     -1776
fsub    $18    $15    $3   
fsw     $14    $0     1468
fsw     $5     $0     32
fsub    $26    $8     $28  
fsw     $3     $0     276
fsw     $26    $0     -504
fsub    $1     $21    $9   
fsub    $28    $10    $0   
fadd    $24    $22    $9   
fsub    $23    $30    $21  
flw     $7     $0     -1400
fsw     $20    $0     868
fsub    $28    $25    $18  
fadd    $19    $5     $6   
fsw     $0     $0     1300
fsw     $3     $0     -388
fsub    $27    $7     $0   
fadd    $17    $23    $10  
fsw     $13    $0     628
fadd    $21    $8     $22  
fsub    $11    $6     $4   
fsub    $25    $29    $24  
fsub    $20    $12    $22  
flw     $23    $0     1520
fadd    $30    $17    $3   
fsw     $2     $0     1916
fsw     $14    $0     820
fsub    $6     $12    $0   
fadd    $20    $5     $23  
fsw     $29    $0     1860
fsw     $5     $0     336
fsw     $22    $0     1252
fsub    $5     $31    $10  
flw     $24    $0     -1736
fsub    $19    $10    $26  
fsub    $2     $14    $15  
fsw     $11    $0     644
fsub    $28    $19    $22  
fadd    $28    $8     $29  
fsw     $28    $0     -748
fsub    $13    $31    $27  
flw     $18    $0     820
fadd    $11    $16    $7   
fsw     $11    $0     -1568
fsub    $18    $21    $25  
fadd    $26    $20    $19  
flw     $28    $0     1600
fsub    $18    $22    $5   
fsub    $22    $17    $14  
flw     $15    $0     1476
fsub    $30    $22    $30  
fadd    $27    $0     $7   
fsub    $18    $29    $4   
fsub    $1     $8     $17  
fadd    $10    $25    $10  
flw     $25    $0     68
fadd    $31    $0     $16  
fadd    $21    $5     $7   
flw     $10    $0     -68
flw     $12    $0     -1304
flw     $18    $0     1452
flw     $15    $0     -588
flw     $12    $0     1016
fsub    $6     $30    $29  
fsw     $19    $0     464
fadd    $15    $3     $28  
fsw     $16    $0     1332
flw     $6     $0     -716
fsw     $12    $0     916
fsw     $13    $0     -1184
fsub    $22    $30    $30  
flw     $31    $0     -20
fadd    $26    $2     $20  
fadd    $16    $22    $4   
fsub    $8     $7     $28  
fsub    $16    $27    $15  
fadd    $17    $11    $21  
fadd    $27    $1     $1   
fsub    $13    $26    $20  
fsub    $7     $15    $31  
fsub    $1     $26    $1   
fadd    $19    $11    $4   
fsub    $15    $1     $22  
fadd    $15    $7     $30  
fsub    $13    $11    $29  
fsw     $4     $0     1828
flw     $25    $0     -1252
fsw     $23    $0     888
fsw     $21    $0     -1012
flw     $28    $0     1632
fadd    $11    $25    $28  
fadd    $22    $10    $0   
fsub    $13    $11    $5   
fadd    $6     $2     $25  
fsub    $19    $27    $31  
fadd    $5     $23    $26  
fsub    $9     $14    $19  
fsub    $28    $24    $26  
flw     $6     $0     -396
flw     $29    $0     88
fsub    $21    $5     $14  
fsw     $27    $0     1884
flw     $23    $0     -900
fadd    $5     $28    $2   
fadd    $11    $2     $20  
