----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
flw     $31    $0     292
fsub    $20    $17    $14  
flw     $23    $0     -184
fsw     $5     $0     -1204
fsw     $6     $0     -584
flw     $24    $0     1644
fadd    $15    $30    $8   
fadd    $14    $31    $17  
fsub    $21    $20    $22  
fadd    $15    $16    $14  
fadd    $1     $9     $18  
fadd    $30    $16    $5   
flw     $5     $0     -820
flw     $14    $0     1820
flw     $18    $0     1176
fsub    $2     $24    $4   
flw     $14    $0     2016
fadd    $4     $1     $22  
fsw     $22    $0     1164
flw     $26    $0     836
fsub    $24    $28    $27  
fsub    $21    $7     $15  
flw     $27    $0     -1040
fsw     $13    $0     -788
fsub    $19    $2     $19  
fsub    $25    $3     $22  
fadd    $3     $17    $5   
fsw     $13    $0     1980
fsub    $8     $19    $21  
fsub    $14    $3     $19  
flw     $24    $0     -1128
flw     $11    $0     1784
fsw     $1     $0     596
fsub    $21    $29    $4   
fsub    $31    $30    $8   
flw     $19    $0     1840
fadd    $14    $7     $6   
fsw     $17    $0     984
fsub    $29    $30    $10  
flw     $1     $0     1372
fsw     $22    $0     -1924
fsub    $31    $6     $26  
flw     $10    $0     -1852
fsw     $31    $0     164
fsw     $26    $0     -1120
fadd    $14    $7     $8   
flw     $12    $0     -512
fsub    $21    $16    $2   
fsub    $2     $19    $29  
fadd    $13    $23    $11  
fsw     $27    $0     1324
fsw     $0     $0     -1340
flw     $30    $0     1124
fadd    $26    $6     $17  
fsub    $13    $5     $27  
flw     $23    $0     -1556
fsw     $26    $0     -192
flw     $18    $0     204
fsw     $11    $0     436
fsw     $29    $0     -568
flw     $20    $0     1156
fsw     $24    $0     -392
fsw     $16    $0     260
fsw     $22    $0     -1592
fadd    $15    $18    $17  
fsw     $27    $0     488
flw     $13    $0     1020
fsw     $19    $0     -1352
fsw     $11    $0     -1400
flw     $31    $0     1228
fadd    $17    $19    $1   
fadd    $31    $22    $5   
fsw     $10    $0     648
flw     $5     $0     -1852
fadd    $14    $8     $31  
fadd    $20    $4     $7   
fsw     $24    $0     -1924
fsub    $22    $29    $7   
fsub    $4     $23    $25  
flw     $4     $0     1240
fsub    $28    $10    $17  
fadd    $25    $25    $15  
fsw     $28    $0     -432
fsub    $16    $25    $22  
fadd    $19    $28    $6   
fsub    $2     $13    $9   
flw     $17    $0     1708
fsub    $8     $25    $27  
fsw     $18    $0     -1236
fadd    $5     $23    $25  
fsub    $17    $6     $31  
fsw     $3     $0     -1948
fadd    $9     $16    $14  
flw     $28    $0     -1068
fadd    $10    $5     $17  
fsub    $20    $2     $8   
fsw     $10    $0     1836
flw     $26    $0     1968
fadd    $26    $28    $9   
fadd    $14    $24    $19  
fsub    $4     $27    $30  
flw     $5     $0     12
fsw     $22    $0     -344
fsub    $8     $15    $17  
fsw     $27    $0     1528
fadd    $4     $24    $22  
fadd    $15    $20    $31  
fadd    $23    $4     $8   
fsw     $11    $0     -888
fsub    $7     $21    $13  
fsw     $24    $0     -1260
fsub    $16    $5     $3   
fsw     $25    $0     856
fadd    $25    $5     $18  
flw     $11    $0     1560
fadd    $23    $1     $30  
flw     $4     $0     1336
fadd    $21    $13    $16  
fadd    $10    $23    $0   
fadd    $11    $0     $23  
fsub    $29    $17    $31  
flw     $4     $0     1152
fsw     $14    $0     -2020
fadd    $6     $17    $3   
flw     $15    $0     584
flw     $8     $0     480
fsw     $2     $0     -1464
fadd    $22    $21    $16  
flw     $31    $0     900
fadd    $23    $29    $4   
fsw     $31    $0     1440
fadd    $10    $26    $22  
fsub    $21    $12    $19  
flw     $25    $0     -1612
fsw     $19    $0     -940
flw     $8     $0     -920
flw     $15    $0     700
fadd    $9     $16    $11  
fadd    $31    $6     $27  
flw     $30    $0     -1888
fadd    $30    $28    $31  
fsw     $7     $0     1344
fsw     $28    $0     -696
flw     $23    $0     1364
flw     $12    $0     -1792
fsub    $18    $8     $10  
fsub    $26    $14    $2   
fsw     $13    $0     1664
fsub    $16    $19    $24  
flw     $22    $0     1784
flw     $3     $0     788
flw     $7     $0     -1136
fadd    $25    $17    $10  
fadd    $25    $17    $12  
fsw     $23    $0     572
fsub    $15    $14    $0   
fsw     $6     $0     -4
fsub    $23    $2     $9   
fadd    $21    $14    $31  
fsw     $6     $0     -1164
fadd    $14    $7     $31  
fsw     $19    $0     968
fsw     $31    $0     1716
fsub    $21    $10    $14  
fsub    $6     $15    $17  
fadd    $12    $20    $15  
flw     $23    $0     1008
fsw     $29    $0     -932
fadd    $3     $2     $18  
fadd    $25    $26    $0   
fsub    $17    $31    $31  
fsw     $6     $0     144
fsw     $24    $0     -1440
flw     $8     $0     -888
fadd    $6     $8     $27  
fsub    $7     $8     $24  
fadd    $14    $9     $19  
fadd    $11    $1     $0   
fsub    $14    $15    $13  
fadd    $9     $18    $6   
fadd    $26    $7     $12  
flw     $4     $0     916
flw     $14    $0     -412
flw     $24    $0     1304
fsub    $19    $11    $31  
fsub    $12    $26    $26  
flw     $14    $0     1872
fsw     $0     $0     -1580
fsub    $13    $27    $17  
fsub    $3     $13    $31  
fsw     $24    $0     -1636
flw     $8     $0     -876
fadd    $27    $19    $26  
fadd    $15    $20    $30  
fadd    $9     $4     $9   
flw     $18    $0     -1540
fsub    $8     $13    $13  
fsw     $13    $0     -1452
flw     $18    $0     -1928
fsub    $21    $22    $13  
fadd    $2     $4     $8   
fadd    $11    $26    $21  
flw     $28    $0     -1736
fadd    $9     $23    $3   
fsub    $6     $16    $5   
