----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fsub    $23    $20    $26  
sw      $31    $0     -268
fclass  $20    $29  
flw     $16    $0     -272
fsub    $23    $26    $16  
flw     $4     $0     -1828
flt     $1     $17    $16  
sll     $21    $21    $19  
flw     $28    $0     -1112
sub     $22    $26    $25  
fsw     $26    $0     -1232
flw     $14    $0     -1040
sub     $16    $25    $20  
flt     $23    $11    $14  
sub     $1     $28    $23  
slt     $23    $4     $14  
fsub    $25    $4     $31  
sub     $13    $10    $12  
flw     $30    $0     1816
srl     $4     $27    $0   
fclass  $26    $11  
sub     $29    $8     $9   
addi    $6     $0     -1452
fsw     $9     $0     -668
sll     $8     $7     $6   
sll     $16    $4     $15  
lw      $29    $0     -580
sub     $17    $30    $30  
fclass  $20    $12  
fclass  $1     $3   
flw     $22    $0     -1496
slt     $24    $19    $12  
sll     $6     $8     $29  
lw      $2     $0     1860
fsw     $16    $0     -344
slt     $30    $9     $4   
fclass  $23    $2   
slt     $23    $9     $6   
fsw     $23    $0     -1516
fadd    $18    $14    $28  
fsw     $28    $0     -1036
fadd    $15    $23    $30  
fsw     $19    $0     132
lw      $17    $0     1452
sub     $16    $23    $16  
srl     $29    $9     $5   
sll     $27    $27    $11  
add     $8     $22    $19  
sw      $29    $0     2040
fsub    $20    $22    $19  
add     $20    $29    $9   
fadd    $24    $9     $8   
fclass  $12    $2   
sub     $27    $6     $1   
fsub    $9     $11    $26  
fclass  $26    $13  
slt     $25    $9     $27  
sub     $30    $29    $4   
add     $14    $27    $26  
slt     $1     $19    $0   
sll     $6     $6     $26  
sw      $14    $0     -1068
addi    $22    $0     628
fclass  $22    $24  
addi    $16    $0     -1388
fadd    $14    $10    $27  
sw      $2     $0     -1972
addi    $2     $0     1036
sw      $19    $0     -1348
sll     $28    $3     $8   
addi    $22    $0     1772
fsw     $5     $0     792
sw      $8     $0     -4
sw      $15    $0     564
fclass  $31    $7   
add     $21    $2     $22  
sll     $11    $12    $5   
sll     $15    $12    $19  
sub     $5     $17    $23  
lw      $22    $0     748
sll     $24    $4     $22  
addi    $31    $0     -1348
srl     $28    $26    $14  
fsub    $22    $16    $5   
sw      $25    $0     -1576
add     $18    $25    $26  
srl     $9     $4     $11  
fclass  $27    $31  
sub     $23    $13    $30  
srl     $1     $31    $11  
slt     $18    $6     $3   
addi    $30    $0     1008
lw      $11    $0     -1100
sub     $31    $24    $11  
add     $20    $1     $12  
sw      $16    $0     -92
fsub    $4     $22    $18  
add     $1     $2     $24  
flw     $22    $0     -868
fsub    $21    $12    $16  
sll     $3     $16    $19  
addi    $13    $0     -1604
sub     $12    $27    $5   
addi    $12    $0     -816
fclass  $7     $16  
fclass  $20    $23  
fclass  $25    $21  
slt     $28    $12    $26  
sw      $19    $0     1944
addi    $7     $0     432
fadd    $30    $26    $1   
fsw     $10    $0     132
flt     $14    $21    $27  
add     $14    $1     $6   
fsw     $5     $0     -1756
slt     $8     $21    $19  
fclass  $22    $10  
flw     $24    $0     -376
sll     $7     $30    $3   
fadd    $31    $10    $2   
sub     $3     $20    $27  
slt     $15    $11    $15  
srl     $14    $12    $23  
fsw     $23    $0     -308
lw      $25    $0     1028
fsw     $16    $0     -1576
srl     $6     $10    $3   
addi    $21    $0     1472
fclass  $15    $7   
srl     $10    $0     $14  
sll     $14    $2     $26  
sub     $21    $10    $28  
addi    $9     $0     700
flt     $20    $22    $17  
flt     $23    $20    $21  
sll     $6     $21    $17  
flw     $23    $0     -1740
sub     $19    $28    $23  
sw      $7     $0     -868
sub     $11    $28    $14  
fsub    $17    $5     $1   
slt     $17    $24    $1   
fadd    $22    $23    $22  
fclass  $18    $9   
fsub    $14    $14    $17  
lw      $18    $0     1076
fadd    $9     $11    $20  
fadd    $16    $8     $18  
sub     $9     $14    $23  
slt     $26    $23    $30  
lw      $1     $0     1016
flw     $24    $0     176
fadd    $30    $6     $13  
sll     $7     $23    $24  
fclass  $7     $15  
add     $14    $7     $24  
flw     $14    $0     -960
flt     $9     $14    $8   
fadd    $2     $20    $23  
slt     $24    $22    $5   
fclass  $4     $19  
flw     $18    $0     1304
fsub    $2     $0     $12  
sub     $19    $8     $9   
srl     $22    $25    $27  
lw      $24    $0     -1872
flt     $1     $2     $11  
fsub    $5     $26    $20  
add     $25    $4     $26  
fsw     $28    $0     1996
lw      $17    $0     -400
srl     $18    $23    $4   
sll     $1     $29    $3   
fsub    $12    $11    $13  
flt     $24    $28    $1   
srl     $5     $12    $28  
srl     $12    $30    $20  
fsw     $7     $0     1340
addi    $13    $0     80
fclass  $30    $13  
flw     $3     $0     -24
fsub    $5     $8     $15  
slt     $3     $22    $19  
srl     $19    $22    $1   
sw      $25    $0     2028
flw     $17    $0     864
fsub    $27    $31    $14  
add     $30    $6     $4   
fclass  $2     $23  
fsw     $1     $0     992
fsw     $4     $0     -1972
add     $19    $19    $26  
flt     $24    $2     $7   
addi    $25    $0     1940
sll     $24    $3     $3   
sll     $5     $20    $11  
flw     $2     $0     -448
sll     $21    $23    $23  
sll     $29    $8     $22  
fsw     $9     $0     1220
sw      $23    $0     -1932
lw      $2     $0     716
fsw     $31    $0     -1976
fadd    $10    $16    $4   
fclass  $13    $26  
slt     $22    $5     $30  
fsub    $14    $1     $14  
sw      $20    $0     -448
fsw     $25    $0     604
fclass  $1     $12  
addi    $3     $0     -704
add     $22    $16    $24  
lw      $8     $0     -64
srl     $27    $11    $17  
fsw     $30    $0     -1512
