----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
slt     $11    $24    $22  
addi    $13    $0     1652
sw      $9     $0     216
slt     $23    $25    $20  
fadd    $11    $16    $4   
flw     $17    $0     1492
lw      $30    $0     -1632
fadd    $11    $27    $13  
flt     $12    $5     $15  
sub     $1     $9     $23  
fclass  $7     $12  
sw      $19    $0     -1608
lw      $31    $0     -1560
slt     $12    $12    $1   
fsub    $29    $15    $18  
lw      $28    $0     172
slt     $14    $7     $30  
fsub    $7     $19    $25  
lw      $31    $0     32
slt     $24    $14    $12  
slt     $14    $10    $22  
flt     $1     $21    $26  
add     $13    $16    $18  
slt     $22    $9     $3   
slt     $3     $16    $25  
srl     $30    $29    $14  
srl     $3     $22    $2   
flt     $29    $17    $19  
lw      $24    $0     -1372
addi    $17    $0     -36
fclass  $20    $6   
fsw     $11    $0     -1112
sub     $26    $16    $13  
fsw     $18    $0     -656
sll     $20    $7     $15  
flt     $3     $23    $1   
flw     $2     $0     1716
flt     $25    $2     $17  
fsw     $11    $0     -1136
flw     $6     $0     984
flw     $29    $0     64
fsub    $1     $27    $20  
slt     $13    $4     $19  
add     $26    $13    $22  
fsub    $23    $18    $30  
fsw     $30    $0     208
srl     $7     $23    $21  
addi    $27    $0     1092
sw      $17    $0     1452
sll     $4     $19    $28  
flt     $8     $8     $4   
sw      $20    $0     -288
lw      $31    $0     -1428
fadd    $8     $21    $4   
fsw     $1     $0     -112
srl     $18    $10    $13  
addi    $16    $0     332
flw     $23    $0     -168
sub     $10    $24    $14  
fclass  $13    $29  
fsw     $13    $0     1176
srl     $6     $5     $25  
srl     $30    $18    $17  
srl     $11    $15    $9   
sub     $14    $10    $21  
fsw     $16    $0     -1432
fsub    $18    $4     $19  
fclass  $14    $18  
fclass  $9     $17  
fsub    $25    $22    $29  
flt     $12    $26    $22  
sw      $30    $0     1308
sub     $1     $31    $28  
fsw     $6     $0     1604
fsw     $4     $0     -1100
fclass  $18    $24  
srl     $15    $17    $22  
fadd    $25    $26    $0   
flw     $10    $0     -1080
fsw     $28    $0     1896
fadd    $23    $25    $18  
flt     $27    $26    $23  
sw      $19    $0     -1704
sll     $22    $20    $18  
fsub    $3     $21    $16  
sub     $19    $29    $9   
add     $23    $24    $8   
fclass  $9     $28  
sw      $31    $0     -1216
lw      $24    $0     -1364
sub     $20    $6     $31  
fsub    $6     $30    $0   
flt     $3     $12    $6   
fsub    $29    $3     $10  
fsub    $20    $25    $15  
fadd    $27    $18    $5   
flt     $8     $1     $17  
sw      $9     $0     -968
fsw     $16    $0     -1828
addi    $6     $0     336
fclass  $22    $24  
fsub    $12    $20    $19  
srl     $12    $9     $2   
flt     $3     $18    $28  
fsub    $21    $20    $5   
srl     $4     $10    $30  
slt     $1     $3     $18  
srl     $2     $25    $1   
fsub    $24    $5     $27  
addi    $15    $0     1984
flt     $31    $27    $3   
add     $29    $11    $27  
flw     $27    $0     -1712
slt     $15    $19    $22  
addi    $27    $0     -1096
flw     $10    $0     1180
flt     $24    $10    $26  
flw     $8     $0     1004
srl     $28    $19    $0   
fadd    $17    $22    $0   
sw      $25    $0     1468
sw      $26    $0     -1760
sub     $18    $15    $2   
srl     $6     $30    $31  
fsw     $6     $0     -1504
fadd    $24    $14    $10  
flt     $14    $8     $21  
sll     $13    $13    $21  
sll     $27    $7     $3   
sll     $21    $0     $25  
slt     $12    $29    $29  
sll     $21    $31    $19  
srl     $2     $25    $29  
slt     $23    $22    $17  
flt     $28    $13    $17  
srl     $5     $16    $31  
lw      $1     $0     -1108
lw      $5     $0     16
slt     $3     $16    $24  
fclass  $3     $1   
sub     $28    $6     $31  
sub     $25    $24    $22  
lw      $7     $0     1416
fsw     $23    $0     -1744
fsub    $28    $23    $18  
slt     $4     $9     $18  
fadd    $5     $24    $5   
flt     $30    $28    $30  
lw      $25    $0     -876
fadd    $3     $9     $3   
srl     $13    $17    $31  
flw     $12    $0     -1036
sll     $16    $0     $7   
addi    $21    $0     -196
fclass  $16    $13  
sub     $12    $4     $21  
addi    $10    $0     112
add     $25    $23    $3   
sw      $16    $0     1932
srl     $24    $29    $28  
fclass  $14    $3   
slt     $4     $11    $12  
sub     $13    $23    $12  
flw     $20    $0     1584
sw      $21    $0     1540
addi    $23    $0     1296
lw      $29    $0     2020
add     $18    $9     $26  
addi    $27    $0     -1852
sll     $6     $4     $24  
srl     $15    $7     $22  
fsw     $28    $0     1060
fadd    $28    $18    $23  
sw      $20    $0     -1060
lw      $4     $0     1856
add     $8     $26    $12  
fclass  $18    $2   
sw      $6     $0     -1804
fclass  $3     $24  
fsw     $5     $0     -68
flw     $22    $0     -656
sub     $2     $13    $18  
sw      $26    $0     1580
fclass  $9     $26  
fclass  $5     $19  
fsw     $5     $0     -1864
flt     $29    $1     $17  
fsub    $19    $19    $10  
fsub    $14    $22    $15  
fclass  $20    $14  
flt     $28    $27    $9   
sub     $17    $1     $25  
sub     $15    $19    $31  
flw     $25    $0     1616
sll     $3     $1     $18  
lw      $23    $0     1352
fadd    $17    $20    $20  
slt     $19    $24    $12  
sll     $18    $7     $28  
flw     $2     $0     -1252
fclass  $4     $31  
slt     $18    $15    $3   
sub     $1     $24    $6   
add     $3     $23    $3   
flw     $26    $0     -1872
fclass  $15    $23  
fsub    $26    $9     $10  
flw     $7     $0     640
fadd    $1     $20    $2   
sub     $20    $9     $3   
fsw     $30    $0     -1100
flt     $31    $28    $12  
fsub    $2     $23    $8   
lw      $21    $0     600
