----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fadd    $30    $18    $17  
fsw     $1     $0     596
sub     $25    $19    $2   
flt     $23    $2     $19  
add     $11    $1     $13  
fclass  $10    $23  
sll     $19    $10    $22  
flt     $9     $4     $13  
addi    $29    $0     -304
fclass  $14    $13  
srl     $18    $5     $10  
fadd    $9     $4     $8   
sub     $28    $18    $7   
addi    $21    $0     708
fclass  $28    $11  
sw      $14    $0     1348
sll     $4     $22    $6   
slt     $6     $27    $3   
fadd    $7     $31    $2   
lw      $22    $0     -264
slt     $24    $5     $4   
fsw     $17    $0     -1200
fadd    $28    $29    $3   
sll     $11    $23    $30  
add     $5     $14    $7   
sll     $2     $15    $20  
fadd    $8     $9     $9   
sw      $5     $0     -1748
sub     $15    $29    $18  
add     $2     $8     $27  
sll     $14    $27    $8   
flt     $3     $10    $23  
flt     $31    $8     $15  
addi    $31    $0     420
sub     $31    $30    $16  
flt     $16    $24    $31  
add     $26    $5     $30  
flt     $26    $5     $7   
flw     $22    $0     -744
add     $8     $13    $10  
fsw     $19    $0     -1136
srl     $16    $3     $17  
lw      $11    $0     -264
flt     $1     $17    $10  
srl     $9     $2     $18  
sub     $26    $3     $6   
flt     $25    $20    $20  
fadd    $11    $9     $19  
slt     $20    $4     $9   
fsw     $6     $0     -1508
add     $8     $6     $30  
fclass  $20    $11  
add     $12    $23    $27  
fadd    $28    $19    $10  
flt     $8     $17    $7   
sub     $22    $29    $31  
sll     $15    $6     $28  
fclass  $21    $29  
slt     $30    $2     $31  
srl     $19    $28    $16  
fsub    $23    $28    $7   
fadd    $7     $16    $7   
addi    $29    $0     -920
slt     $27    $14    $29  
addi    $2     $0     1620
add     $29    $15    $8   
sw      $16    $0     -1304
flw     $28    $0     -428
slt     $8     $16    $26  
sw      $12    $0     -1036
sub     $13    $2     $0   
add     $7     $27    $30  
fsw     $8     $0     -1724
fsw     $22    $0     1424
fadd    $3     $29    $10  
slt     $19    $22    $27  
srl     $31    $28    $23  
sw      $26    $0     -880
sub     $26    $20    $26  
fsw     $2     $0     -668
fsw     $2     $0     -192
fsw     $13    $0     1808
lw      $7     $0     -1232
flw     $18    $0     80
flt     $9     $15    $11  
flw     $9     $0     -1508
slt     $24    $13    $19  
addi    $1     $0     1104
flt     $15    $10    $8   
sw      $12    $0     -244
fsw     $5     $0     -1992
flw     $28    $0     268
addi    $11    $0     -1264
flw     $10    $0     -1604
sub     $7     $20    $15  
sw      $16    $0     440
sub     $15    $21    $11  
sub     $7     $17    $24  
slt     $1     $4     $31  
fsw     $26    $0     1184
flt     $1     $5     $14  
sw      $16    $0     -1020
sw      $11    $0     552
fadd    $24    $5     $13  
fsw     $14    $0     -308
sub     $4     $11    $13  
fadd    $22    $23    $20  
fsw     $25    $0     -740
lw      $26    $0     -992
fclass  $1     $30  
fadd    $16    $7     $31  
flt     $30    $24    $27  
flt     $31    $20    $25  
srl     $20    $21    $28  
fclass  $6     $19  
flt     $16    $0     $18  
addi    $1     $0     -4
srl     $23    $5     $9   
lw      $3     $0     -1548
lw      $28    $0     -628
slt     $3     $28    $24  
fsw     $22    $0     -492
flw     $9     $0     -1608
fadd    $26    $20    $13  
flt     $13    $12    $18  
sll     $30    $12    $2   
addi    $15    $0     -1672
sw      $6     $0     484
addi    $4     $0     88
addi    $15    $0     480
fclass  $29    $2   
addi    $11    $0     -1384
lw      $3     $0     1144
srl     $1     $15    $15  
addi    $11    $0     -472
flw     $22    $0     372
sub     $22    $23    $28  
fsw     $27    $0     -936
sub     $11    $19    $25  
flw     $20    $0     -1024
addi    $29    $0     1792
fsub    $10    $21    $21  
fsw     $6     $0     1504
fsw     $6     $0     -928
slt     $25    $10    $6   
sll     $25    $18    $28  
sub     $9     $8     $18  
flt     $27    $19    $20  
add     $8     $31    $23  
lw      $11    $0     916
sub     $3     $30    $16  
fsub    $28    $6     $27  
sll     $19    $3     $30  
slt     $23    $27    $23  
flw     $29    $0     928
flt     $19    $22    $21  
flw     $24    $0     1812
sw      $22    $0     452
srl     $19    $14    $6   
fclass  $16    $5   
fsw     $18    $0     -1324
fclass  $25    $24  
srl     $14    $0     $19  
sw      $14    $0     568
srl     $3     $17    $13  
fclass  $3     $15  
sw      $2     $0     -1624
flw     $28    $0     512
slt     $19    $6     $3   
fadd    $12    $12    $4   
flw     $22    $0     -20
fclass  $22    $14  
add     $17    $30    $10  
add     $8     $6     $13  
fsw     $4     $0     1016
fadd    $30    $5     $15  
flw     $13    $0     -872
flt     $12    $3     $19  
sw      $29    $0     1288
fsw     $21    $0     -660
fsw     $22    $0     148
flw     $20    $0     204
fadd    $12    $2     $31  
slt     $26    $21    $15  
flt     $16    $19    $30  
sw      $18    $0     1260
lw      $16    $0     -728
flw     $24    $0     -1076
fsw     $25    $0     108
slt     $7     $31    $27  
fsw     $9     $0     1688
add     $4     $3     $22  
slt     $5     $8     $16  
lw      $2     $0     -232
add     $6     $19    $28  
slt     $5     $14    $16  
flw     $22    $0     1148
fsw     $9     $0     1240
srl     $25    $18    $19  
add     $13    $2     $1   
srl     $4     $11    $15  
sub     $26    $27    $0   
slt     $23    $1     $31  
fadd    $15    $27    $28  
lw      $16    $0     -96
fsw     $24    $0     -1312
sw      $31    $0     -1336
sub     $1     $5     $5   
fadd    $18    $24    $13  
fsw     $25    $0     -1516
flt     $15    $5     $2   
add     $9     $21    $25  
flw     $10    $0     296
srl     $26    $15    $19  
lw      $27    $0     -60
