----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
add     $8     $10    $25  
flw     $23    $0     1308
lw      $30    $0     1612
add     $22    $14    $9   
fsw     $21    $0     0
fsub    $17    $6     $17  
fadd    $1     $14    $26  
sw      $29    $0     -308
addi    $27    $0     -1332
fclass  $4     $22  
srl     $23    $14    $22  
fsw     $4     $0     -1796
sw      $25    $0     2012
addi    $25    $0     -68
fsw     $8     $0     -1680
flt     $8     $0     $10  
flt     $31    $21    $17  
sll     $27    $29    $6   
srl     $8     $13    $22  
add     $31    $27    $15  
sll     $31    $0     $28  
fsub    $28    $29    $25  
fsub    $16    $22    $27  
add     $21    $27    $21  
sw      $8     $0     -1188
addi    $8     $0     1592
fsw     $8     $0     -1496
sll     $26    $27    $14  
sub     $11    $10    $10  
sub     $10    $11    $12  
add     $27    $9     $10  
fadd    $24    $18    $10  
lw      $12    $0     -1160
lw      $14    $0     -2028
flt     $27    $24    $15  
addi    $7     $0     1716
addi    $8     $0     -688
fadd    $18    $27    $31  
fadd    $31    $14    $25  
fclass  $19    $26  
add     $16    $24    $31  
slt     $11    $26    $12  
fsw     $6     $0     -364
addi    $2     $0     192
srl     $25    $9     $11  
fsub    $10    $4     $12  
addi    $1     $0     324
fsub    $1     $23    $12  
sll     $19    $22    $12  
addi    $16    $0     1020
fsw     $11    $0     1540
srl     $22    $22    $18  
sw      $1     $0     -1252
slt     $31    $16    $0   
flt     $18    $25    $16  
fsub    $31    $14    $20  
flw     $29    $0     -920
flt     $14    $13    $4   
fclass  $19    $14  
fadd    $21    $13    $27  
slt     $22    $23    $19  
sub     $25    $27    $6   
sub     $4     $6     $27  
slt     $9     $6     $6   
srl     $21    $0     $28  
addi    $23    $0     1556
flt     $26    $17    $5   
srl     $10    $12    $2   
sub     $31    $23    $25  
sw      $10    $0     1016
sll     $15    $13    $21  
lw      $9     $0     540
slt     $24    $13    $21  
sub     $17    $26    $5   
slt     $11    $16    $24  
srl     $3     $28    $26  
addi    $7     $0     -968
fclass  $6     $17  
sw      $17    $0     1176
fsw     $16    $0     -1696
add     $9     $19    $21  
sll     $19    $11    $1   
fsub    $5     $25    $26  
sub     $31    $26    $21  
fclass  $12    $2   
srl     $25    $2     $29  
addi    $25    $0     1296
add     $4     $31    $29  
sw      $12    $0     -652
flw     $3     $0     536
fclass  $2     $1   
lw      $27    $0     1000
sw      $3     $0     1988
sll     $3     $18    $7   
flw     $11    $0     -1564
srl     $14    $17    $1   
sll     $18    $2     $31  
sub     $15    $1     $1   
addi    $28    $0     -1316
add     $17    $2     $3   
addi    $13    $0     -704
fsub    $22    $14    $24  
flt     $19    $1     $27  
sll     $9     $8     $31  
fclass  $21    $29  
fadd    $29    $21    $19  
flw     $30    $0     -1240
add     $8     $14    $21  
flw     $2     $0     -1608
fclass  $13    $14  
lw      $6     $0     -28
sll     $10    $20    $15  
fadd    $28    $30    $26  
fadd    $28    $5     $3   
flw     $12    $0     1872
fsw     $3     $0     2008
sw      $23    $0     -1052
slt     $28    $2     $6   
flt     $5     $3     $12  
fadd    $1     $27    $1   
fsw     $25    $0     -1644
fsub    $22    $20    $23  
sw      $12    $0     1492
flt     $11    $21    $8   
fsw     $25    $0     1328
srl     $23    $18    $4   
addi    $26    $0     -1528
fadd    $8     $16    $23  
sll     $1     $26    $24  
sub     $28    $20    $12  
fadd    $1     $11    $18  
add     $15    $1     $31  
addi    $4     $0     1656
sw      $2     $0     1244
sw      $29    $0     -364
fsw     $9     $0     644
flw     $12    $0     2028
add     $20    $30    $18  
flt     $23    $5     $29  
lw      $19    $0     1444
sub     $7     $19    $10  
fadd    $27    $0     $21  
fsw     $31    $0     -148
addi    $8     $0     704
sll     $9     $0     $4   
add     $13    $1     $9   
sll     $20    $1     $0   
slt     $13    $2     $16  
srl     $7     $2     $7   
srl     $11    $3     $11  
fsub    $7     $28    $28  
add     $12    $16    $8   
flw     $1     $0     880
fsub    $30    $7     $14  
addi    $30    $0     1596
flt     $18    $23    $15  
sll     $14    $19    $26  
sll     $21    $20    $9   
flt     $20    $15    $18  
fsub    $6     $0     $21  
flw     $23    $0     -532
add     $25    $19    $30  
sll     $14    $6     $15  
slt     $12    $8     $16  
fsub    $10    $1     $4   
fsw     $21    $0     1324
sll     $14    $14    $21  
addi    $7     $0     -956
slt     $15    $11    $20  
sub     $5     $8     $23  
lw      $1     $0     -592
flw     $4     $0     596
fsub    $5     $7     $2   
fsub    $1     $19    $5   
sw      $14    $0     1420
addi    $6     $0     468
fsw     $20    $0     1328
slt     $23    $18    $21  
fadd    $13    $12    $1   
fsw     $3     $0     -1520
flw     $30    $0     636
lw      $21    $0     -88
fsub    $8     $24    $24  
sub     $10    $25    $25  
flt     $6     $12    $18  
flw     $26    $0     -1696
fadd    $21    $5     $14  
addi    $18    $0     -700
sub     $28    $18    $18  
add     $27    $2     $15  
srl     $5     $22    $30  
sw      $24    $0     816
add     $5     $2     $6   
slt     $3     $28    $20  
slt     $26    $15    $22  
fsub    $4     $20    $13  
fclass  $5     $13  
addi    $7     $0     1044
fclass  $5     $18  
sub     $18    $26    $15  
sw      $31    $0     960
flw     $21    $0     1528
add     $29    $29    $18  
addi    $22    $0     684
sll     $15    $7     $5   
fclass  $14    $1   
fclass  $12    $30  
addi    $28    $0     -296
fsw     $25    $0     -1748
sub     $18    $27    $31  
flt     $3     $30    $21  
sw      $29    $0     -1688
fsw     $11    $0     704
sw      $9     $0     704
add     $31    $17    $24  
