----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fadd    $27    $25    $26  
fsub    $5     $8     $30  
fsub    $11    $18    $0   
flw     $10    $0     -1904
fsw     $18    $0     116
fsub    $23    $15    $10  
flw     $26    $0     1420
fsw     $15    $0     772
fsub    $24    $29    $5   
fsub    $22    $5     $6   
fsw     $29    $0     -1172
flw     $22    $0     -1064
fadd    $15    $6     $8   
fsub    $27    $30    $18  
fsw     $8     $0     -240
fsw     $6     $0     -1968
fsub    $12    $17    $15  
fsub    $16    $28    $24  
flw     $14    $0     -1296
fsub    $23    $0     $27  
fsw     $17    $0     -1344
fadd    $31    $1     $16  
fsw     $29    $0     -1100
fsw     $24    $0     -2012
fsub    $3     $29    $15  
fsw     $7     $0     1064
fadd    $14    $11    $6   
fadd    $1     $3     $22  
fadd    $9     $20    $24  
fsw     $19    $0     -288
fadd    $30    $27    $5   
fsw     $5     $0     -84
fsub    $17    $19    $10  
fsw     $1     $0     1368
flw     $11    $0     1856
fsub    $21    $14    $31  
fadd    $30    $7     $14  
fsub    $26    $26    $26  
fsw     $30    $0     -124
fsub    $22    $24    $3   
flw     $23    $0     1440
fsub    $2     $29    $5   
fsub    $16    $29    $2   
fadd    $31    $16    $0   
fsw     $21    $0     -1380
fadd    $13    $13    $14  
fsw     $10    $0     1940
fsw     $22    $0     1792
fadd    $31    $25    $22  
fsub    $5     $3     $15  
fadd    $12    $10    $0   
fsub    $2     $8     $4   
fsw     $10    $0     532
fsw     $16    $0     -80
flw     $12    $0     788
fsw     $26    $0     -1480
fsw     $1     $0     832
fsw     $31    $0     592
fsub    $5     $19    $3   
fsw     $8     $0     1608
flw     $17    $0     1464
flw     $2     $0     -712
fsw     $28    $0     824
fsw     $8     $0     -1396
fadd    $26    $18    $26  
fadd    $14    $13    $17  
fadd    $22    $1     $24  
fsw     $14    $0     1268
flw     $10    $0     -1340
flw     $12    $0     -372
fsw     $4     $0     -1996
fsub    $17    $6     $2   
fsw     $5     $0     1464
fsub    $12    $1     $9   
fadd    $13    $30    $30  
fadd    $12    $23    $27  
fadd    $17    $4     $15  
fadd    $31    $30    $12  
flw     $30    $0     -648
flw     $19    $0     -1516
flw     $30    $0     -368
fsub    $3     $26    $15  
fsub    $1     $14    $13  
fsw     $8     $0     -1688
fsub    $24    $6     $27  
flw     $12    $0     -1472
fadd    $14    $25    $19  
fsub    $20    $1     $15  
fsub    $19    $27    $12  
flw     $24    $0     -1028
fadd    $9     $9     $12  
fsub    $7     $9     $16  
fadd    $30    $14    $11  
fsw     $2     $0     -520
fsw     $29    $0     1496
fsub    $25    $2     $16  
fsub    $17    $23    $27  
fadd    $1     $25    $23  
fsw     $30    $0     -1568
fsw     $0     $0     -544
fsub    $8     $7     $14  
fsw     $28    $0     388
fadd    $12    $19    $4   
fadd    $24    $17    $20  
fadd    $31    $2     $16  
flw     $6     $0     -1432
fsw     $0     $0     -1404
fsub    $6     $3     $22  
fadd    $9     $16    $4   
fadd    $5     $8     $17  
fsw     $7     $0     1572
fadd    $19    $25    $15  
fsw     $27    $0     -1616
fsw     $23    $0     1824
fsw     $9     $0     188
flw     $13    $0     760
fadd    $24    $30    $16  
flw     $3     $0     2008
fsw     $22    $0     1752
fsw     $14    $0     -1044
flw     $25    $0     -1168
flw     $2     $0     952
flw     $30    $0     -1144
fsub    $25    $21    $9   
flw     $20    $0     1616
fadd    $16    $21    $14  
fsub    $24    $10    $23  
fsub    $20    $28    $14  
fsw     $15    $0     -880
fsw     $13    $0     556
flw     $19    $0     1096
flw     $28    $0     -628
flw     $21    $0     -1008
flw     $1     $0     148
flw     $17    $0     -1508
fsub    $9     $14    $3   
flw     $7     $0     932
fsw     $5     $0     336
fadd    $23    $3     $22  
fsub    $23    $27    $2   
fsub    $14    $2     $18  
fsw     $26    $0     -436
fadd    $3     $11    $15  
fsub    $21    $27    $22  
fsub    $7     $1     $26  
fadd    $17    $17    $2   
fadd    $6     $30    $16  
fadd    $10    $3     $28  
fsw     $24    $0     -692
fsw     $5     $0     -1524
fadd    $18    $13    $26  
fsw     $13    $0     -232
fsw     $17    $0     -1172
fadd    $10    $23    $3   
fadd    $22    $27    $14  
flw     $31    $0     1536
fsw     $2     $0     -388
fadd    $16    $0     $29  
fsub    $29    $6     $11  
fsw     $0     $0     -1548
fsw     $17    $0     -476
fsw     $10    $0     -112
fadd    $6     $4     $26  
fsw     $7     $0     1384
fadd    $5     $26    $18  
flw     $26    $0     -1472
fsub    $27    $2     $31  
flw     $29    $0     -368
fadd    $9     $12    $12  
fsub    $29    $21    $22  
fadd    $16    $9     $16  
fsw     $0     $0     648
fsub    $25    $31    $22  
fadd    $17    $26    $14  
fsub    $21    $13    $23  
fsub    $10    $20    $1   
fsw     $26    $0     -2020
fsub    $4     $13    $28  
fsub    $22    $10    $2   
fsw     $20    $0     1292
fsw     $8     $0     684
fsw     $19    $0     -1196
fadd    $11    $22    $13  
fadd    $29    $6     $16  
flw     $3     $0     1932
flw     $8     $0     1796
flw     $5     $0     -792
fadd    $1     $29    $7   
fsub    $31    $18    $6   
fsw     $30    $0     -688
fsw     $31    $0     1148
fadd    $22    $3     $6   
fadd    $1     $29    $28  
fsub    $23    $6     $7   
fsub    $8     $1     $21  
fsub    $9     $29    $12  
flw     $16    $0     1680
fadd    $23    $18    $27  
flw     $7     $0     844
flw     $23    $0     -1196
fsub    $10    $30    $26  
fsub    $20    $22    $2   
flw     $26    $0     1060
