----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fsub    $6     $8     $16  
fadd    $19    $19    $19  
fadd    $24    $18    $22  
fadd    $26    $7     $15  
fadd    $8     $28    $13  
flw     $18    $0     132
fadd    $7     $13    $29  
fadd    $28    $8     $19  
fsub    $11    $12    $11  
fsub    $22    $13    $21  
fsw     $0     $0     392
fadd    $31    $21    $1   
fsub    $9     $13    $6   
fsub    $11    $3     $29  
fsw     $0     $0     1696
fsw     $2     $0     -104
flw     $25    $0     -20
fsub    $17    $19    $13  
fadd    $14    $9     $14  
fadd    $14    $9     $31  
flw     $5     $0     -644
fsub    $10    $21    $5   
flw     $10    $0     732
fadd    $30    $17    $26  
fsw     $19    $0     -1152
fadd    $4     $29    $11  
flw     $7     $0     -1396
fadd    $27    $22    $0   
fsub    $14    $22    $12  
flw     $9     $0     1176
fadd    $1     $13    $11  
flw     $6     $0     96
fadd    $9     $11    $0   
fsub    $4     $9     $11  
fsw     $6     $0     952
flw     $6     $0     1960
flw     $22    $0     708
fsub    $4     $19    $17  
fadd    $15    $24    $28  
fsub    $7     $24    $27  
fsw     $9     $0     -328
fadd    $18    $16    $3   
fsub    $11    $13    $30  
fsw     $11    $0     -852
fsw     $3     $0     -1912
fadd    $4     $25    $6   
fsw     $4     $0     1300
fsw     $16    $0     -472
fsub    $3     $15    $8   
fsw     $4     $0     1876
fsw     $31    $0     956
flw     $30    $0     232
fadd    $29    $10    $9   
fsub    $1     $9     $11  
flw     $13    $0     1172
fsub    $13    $31    $15  
fsw     $1     $0     480
fadd    $16    $27    $31  
fsub    $22    $5     $5   
fsw     $27    $0     -560
flw     $31    $0     -320
flw     $1     $0     1852
fadd    $9     $31    $3   
flw     $22    $0     -136
fsw     $30    $0     -708
fsw     $11    $0     764
fadd    $1     $8     $16  
fsub    $15    $16    $25  
fsub    $11    $24    $22  
fsub    $4     $9     $2   
flw     $8     $0     -132
fsub    $13    $4     $23  
fadd    $12    $14    $9   
fadd    $19    $23    $17  
fadd    $5     $1     $23  
fsw     $13    $0     2044
fsub    $24    $13    $20  
fsub    $15    $15    $26  
fsub    $5     $22    $26  
fsub    $18    $6     $0   
fsw     $12    $0     1176
fsw     $9     $0     -608
flw     $23    $0     656
fsub    $18    $19    $3   
fsw     $17    $0     968
fadd    $2     $29    $19  
fsw     $17    $0     312
fsw     $13    $0     768
fadd    $2     $12    $21  
fadd    $20    $23    $3   
flw     $31    $0     1200
fsub    $4     $3     $18  
fadd    $14    $16    $26  
fsub    $21    $17    $21  
fadd    $21    $13    $18  
fsw     $14    $0     -192
fsub    $12    $26    $30  
flw     $13    $0     1136
fsub    $24    $9     $7   
fadd    $16    $22    $24  
fsw     $17    $0     -956
flw     $20    $0     1908
fsw     $2     $0     1320
fsw     $12    $0     -1012
flw     $17    $0     -436
fsub    $2     $9     $22  
fadd    $19    $4     $13  
fsw     $2     $0     -140
fadd    $25    $6     $11  
fadd    $1     $11    $6   
fadd    $7     $0     $22  
fsub    $31    $12    $7   
flw     $29    $0     128
fsub    $20    $7     $6   
fadd    $7     $20    $2   
fadd    $30    $0     $18  
flw     $4     $0     972
fadd    $19    $21    $23  
fadd    $7     $7     $30  
fsw     $4     $0     -1180
fadd    $11    $12    $17  
flw     $17    $0     516
fadd    $25    $19    $12  
fadd    $21    $18    $18  
fadd    $30    $11    $15  
fsw     $10    $0     200
fsub    $25    $7     $4   
fsw     $8     $0     -1820
fsub    $27    $15    $23  
fsub    $22    $16    $2   
flw     $14    $0     -1068
fsub    $8     $7     $19  
fsw     $20    $0     -1408
fsub    $28    $27    $11  
fsw     $7     $0     -432
fsw     $5     $0     -520
fadd    $4     $15    $2   
fsw     $30    $0     256
fsw     $23    $0     -1812
fsub    $6     $26    $24  
fsw     $26    $0     -1636
flw     $28    $0     948
fsw     $28    $0     612
flw     $26    $0     -1404
fsw     $12    $0     252
fadd    $31    $27    $21  
fadd    $17    $0     $24  
flw     $26    $0     356
fadd    $4     $1     $21  
flw     $14    $0     1540
fsub    $31    $3     $2   
fsw     $22    $0     1908
fsw     $7     $0     1184
flw     $29    $0     -1788
fsw     $5     $0     352
fsub    $26    $29    $0   
fsw     $25    $0     -1568
flw     $24    $0     -948
fadd    $18    $22    $4   
fsub    $19    $5     $31  
flw     $7     $0     1176
fsub    $28    $18    $24  
fadd    $26    $20    $13  
flw     $17    $0     -1616
flw     $8     $0     1108
flw     $4     $0     -1156
fsw     $0     $0     -1404
fsw     $0     $0     512
fsw     $24    $0     1744
flw     $9     $0     -580
flw     $24    $0     976
fsw     $22    $0     -180
flw     $3     $0     1832
fsw     $9     $0     -1912
fadd    $22    $2     $25  
fsw     $4     $0     1136
flw     $7     $0     1120
fadd    $23    $15    $25  
fsw     $27    $0     -1796
fadd    $4     $4     $28  
flw     $18    $0     -1188
flw     $4     $0     1904
fsw     $7     $0     -1456
fsw     $17    $0     1528
flw     $31    $0     1680
flw     $1     $0     1488
fsub    $6     $12    $0   
fadd    $1     $29    $18  
flw     $1     $0     -944
flw     $31    $0     1272
fsub    $12    $30    $30  
flw     $14    $0     -1432
fsw     $29    $0     -840
flw     $3     $0     1908
flw     $8     $0     1916
fsw     $26    $0     940
fsw     $3     $0     -1532
flw     $10    $0     -448
fadd    $10    $23    $10  
flw     $7     $0     120
fsw     $30    $0     -684
flw     $2     $0     -988
flw     $21    $0     400
fadd    $5     $25    $17  
fsub    $10    $0     $27  
fadd    $24    $8     $0   
