----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
slt     $25    $28    $1   
srl     $31    $21    $6   
add     $13    $16    $20  
slt     $3     $19    $20  
sll     $29    $10    $24  
add     $24    $7     $7   
flt     $26    $11    $30  
slt     $15    $3     $15  
flt     $26    $6     $25  
sub     $3     $24    $26  
sub     $10    $6     $8   
addi    $16    $0     -1700
sub     $2     $27    $24  
fclass  $1     $24  
flt     $20    $14    $7   
addi    $3     $0     668
flw     $18    $0     1684
slt     $24    $23    $28  
lw      $31    $0     1640
fclass  $29    $7   
fadd    $4     $11    $29  
flt     $14    $2     $19  
sw      $29    $0     1008
fadd    $11    $28    $27  
lw      $20    $0     -1072
fclass  $31    $2   
sw      $24    $0     -1568
fclass  $7     $4   
fsw     $10    $0     -224
addi    $14    $0     -244
sub     $29    $28    $31  
add     $11    $31    $12  
fclass  $8     $13  
fclass  $25    $6   
fsw     $10    $0     1772
fadd    $6     $27    $17  
fadd    $8     $3     $25  
add     $9     $15    $28  
sub     $1     $9     $26  
lw      $8     $0     1736
slt     $20    $10    $27  
sll     $22    $5     $3   
fclass  $20    $23  
fsub    $28    $4     $31  
sub     $14    $7     $18  
add     $27    $12    $18  
srl     $29    $1     $1   
flw     $20    $0     424
sub     $26    $6     $5   
sw      $22    $0     420
srl     $14    $12    $9   
flt     $3     $25    $15  
addi    $7     $0     -1556
slt     $28    $27    $19  
flt     $17    $26    $31  
flw     $20    $0     -596
fadd    $24    $28    $11  
add     $19    $9     $3   
slt     $19    $19    $16  
fadd    $25    $20    $11  
add     $3     $0     $20  
sw      $23    $0     1272
flt     $5     $5     $3   
sll     $10    $8     $11  
fsub    $13    $11    $13  
slt     $30    $14    $16  
srl     $13    $11    $26  
addi    $21    $0     536
flw     $3     $0     528
add     $20    $20    $2   
fadd    $4     $22    $6   
add     $13    $12    $19  
fsub    $16    $7     $24  
sll     $19    $11    $27  
sw      $8     $0     -1928
add     $24    $2     $11  
flw     $8     $0     716
lw      $8     $0     -856
fclass  $30    $25  
flw     $15    $0     -1768
sub     $7     $13    $26  
flt     $3     $5     $20  
addi    $15    $0     1200
add     $26    $5     $10  
fclass  $13    $26  
fsub    $20    $19    $22  
sub     $18    $6     $7   
fsub    $2     $20    $8   
flw     $9     $0     224
addi    $19    $0     -1388
slt     $22    $9     $14  
addi    $1     $0     1704
fsw     $0     $0     -776
sll     $6     $9     $13  
fsub    $30    $20    $8   
add     $5     $15    $28  
sw      $6     $0     -1684
sw      $22    $0     -676
add     $21    $0     $3   
addi    $29    $0     1196
sw      $21    $0     1940
fadd    $18    $21    $31  
sw      $25    $0     -304
fsub    $17    $18    $10  
addi    $13    $0     1924
sll     $1     $2     $2   
flw     $28    $0     -1776
sll     $21    $15    $27  
sub     $5     $21    $3   
slt     $28    $4     $27  
sll     $19    $16    $19  
fsub    $30    $2     $17  
sub     $30    $0     $0   
add     $26    $1     $2   
sw      $31    $0     -964
srl     $27    $30    $18  
sll     $5     $9     $2   
add     $9     $29    $7   
addi    $1     $0     648
fsub    $18    $18    $9   
sll     $16    $16    $26  
addi    $15    $0     1392
sub     $16    $10    $20  
flw     $12    $0     -152
fadd    $9     $30    $4   
fsw     $30    $0     916
addi    $19    $0     -1188
sw      $11    $0     -1332
fclass  $19    $9   
fadd    $31    $23    $18  
fsub    $20    $11    $4   
flt     $22    $19    $31  
sw      $14    $0     844
flw     $29    $0     -552
fsub    $22    $24    $9   
add     $12    $22    $15  
lw      $11    $0     888
fsw     $8     $0     2032
sub     $22    $17    $26  
addi    $4     $0     212
flw     $11    $0     -1024
add     $22    $5     $8   
addi    $11    $0     496
fclass  $25    $30  
fsw     $1     $0     716
fadd    $1     $1     $26  
add     $7     $22    $25  
sll     $14    $8     $1   
sub     $14    $12    $8   
fsw     $5     $0     -1516
sw      $29    $0     4
add     $17    $26    $20  
fadd    $9     $21    $29  
slt     $16    $23    $11  
sw      $11    $0     840
fsub    $9     $19    $17  
sw      $29    $0     912
flt     $10    $8     $28  
lw      $21    $0     -1032
slt     $7     $15    $29  
sw      $27    $0     -456
flt     $22    $24    $15  
flw     $21    $0     172
fclass  $30    $29  
slt     $17    $6     $12  
sub     $1     $25    $12  
slt     $12    $9     $28  
add     $2     $17    $15  
sw      $15    $0     -516
add     $27    $22    $19  
sub     $24    $19    $25  
sub     $7     $25    $20  
flw     $20    $0     140
sub     $1     $14    $4   
flt     $11    $28    $26  
slt     $31    $25    $3   
add     $8     $5     $7   
sll     $3     $12    $15  
srl     $9     $10    $11  
add     $25    $2     $14  
fsub    $9     $10    $10  
fadd    $22    $1     $10  
slt     $30    $10    $20  
flt     $17    $9     $5   
slt     $23    $8     $17  
fsw     $27    $0     -116
addi    $23    $0     -528
sub     $29    $30    $13  
fsw     $16    $0     -1372
fadd    $25    $11    $5   
fadd    $3     $30    $1   
fsw     $30    $0     -288
slt     $28    $1     $13  
sll     $13    $2     $18  
addi    $26    $0     -1848
slt     $4     $22    $4   
fsw     $28    $0     1992
sw      $7     $0     -728
add     $5     $15    $10  
add     $14    $28    $14  
lw      $12    $0     436
srl     $5     $6     $22  
flw     $6     $0     -1280
flt     $8     $20    $20  
addi    $10    $0     -188
sw      $25    $0     1060
fsw     $27    $0     1080
sub     $17    $5     $28  
flt     $23    $2     $10  
addi    $29    $0     20
fsw     $28    $0     8
srl     $7     $19    $13  
sub     $16    $20    $26  
fsw     $18    $0     1288
flw     $14    $0     -1852
fsw     $21    $0     -1288
