----------------------
R-type  $rd  $r1  $r2 
I-type  $rd  $r1  im  
S-type  $r2  $r1  im  
B-type  $r1  $r2  im  
----------------------
addi    $0     $0     2044
addi    $0     $0     2044
addi    $0     $0     2044
fadd    $3     $17    $8   
flw     $21    $0     -1788
flw     $9     $0     -640
fsw     $3     $0     -900
fsw     $8     $0     -92
fsub    $13    $31    $23  
fadd    $5     $9     $16  
fadd    $17    $26    $6   
fsub    $11    $17    $30  
fsw     $23    $0     592
fsw     $26    $0     -1084
fadd    $19    $9     $22  
flw     $30    $0     904
fadd    $17    $9     $2   
fsub    $14    $28    $10  
fsub    $3     $0     $24  
fsw     $11    $0     -392
fsw     $31    $0     -1252
fadd    $12    $1     $24  
fsub    $22    $26    $15  
fadd    $3     $16    $5   
fsub    $21    $19    $29  
fsub    $4     $7     $12  
flw     $18    $0     1096
fadd    $4     $17    $3   
fsw     $21    $0     628
fsub    $6     $17    $20  
fsw     $23    $0     124
fsub    $16    $4     $27  
fsw     $11    $0     1744
flw     $14    $0     1560
fsw     $4     $0     1612
fadd    $10    $30    $5   
flw     $21    $0     1032
fadd    $4     $20    $12  
fadd    $7     $29    $11  
fsub    $23    $27    $31  
fsub    $9     $0     $0   
fadd    $4     $28    $29  
fadd    $15    $12    $30  
flw     $29    $0     588
fsw     $25    $0     112
fsub    $30    $3     $21  
fsw     $21    $0     -280
fsw     $31    $0     1724
flw     $11    $0     -48
fadd    $23    $8     $0   
fadd    $12    $20    $9   
flw     $30    $0     -464
flw     $31    $0     224
fsw     $21    $0     -1868
fsw     $21    $0     252
fsub    $3     $20    $3   
fsw     $10    $0     -468
flw     $12    $0     -56
fsub    $26    $20    $14  
fadd    $30    $29    $1   
fsw     $3     $0     1788
fadd    $25    $26    $26  
fsw     $6     $0     -1080
fadd    $8     $26    $30  
fsw     $25    $0     -1192
flw     $25    $0     168
flw     $21    $0     -696
fsw     $20    $0     1792
fsub    $4     $10    $1   
flw     $3     $0     -1224
fsub    $1     $28    $30  
fadd    $13    $13    $18  
fadd    $28    $27    $27  
fadd    $10    $5     $23  
fadd    $3     $27    $22  
fsw     $3     $0     472
fsub    $5     $14    $20  
flw     $21    $0     1696
fadd    $6     $18    $4   
flw     $13    $0     844
fadd    $24    $10    $23  
flw     $13    $0     1548
flw     $27    $0     -1520
fsw     $29    $0     1600
fsw     $1     $0     -1172
flw     $24    $0     -928
fsub    $5     $15    $29  
fsw     $18    $0     1888
fsw     $31    $0     1112
fsw     $4     $0     -1356
flw     $3     $0     -40
fsub    $16    $30    $25  
flw     $4     $0     -1752
flw     $24    $0     -552
fadd    $14    $30    $1   
fsw     $25    $0     60
fsub    $8     $2     $19  
fsub    $19    $5     $21  
flw     $10    $0     -600
fsw     $30    $0     -1388
fsub    $22    $30    $28  
fadd    $10    $15    $2   
fadd    $29    $8     $8   
fsw     $29    $0     1128
fsub    $20    $22    $12  
fadd    $9     $25    $11  
fadd    $26    $13    $3   
fsub    $14    $20    $29  
fsw     $31    $0     -1040
fsub    $6     $16    $31  
flw     $18    $0     1000
fsw     $8     $0     1268
fsub    $11    $13    $2   
fsw     $0     $0     -712
fsub    $6     $7     $25  
fadd    $24    $11    $14  
fsw     $11    $0     620
fadd    $19    $14    $4   
fsw     $5     $0     -464
flw     $31    $0     156
fsw     $3     $0     -1548
flw     $3     $0     -1860
fadd    $2     $20    $18  
fsub    $15    $23    $24  
fadd    $10    $22    $14  
fsub    $7     $13    $6   
flw     $16    $0     -892
fadd    $16    $27    $7   
fsub    $9     $29    $11  
flw     $22    $0     -400
flw     $18    $0     -464
fadd    $31    $30    $18  
flw     $20    $0     1116
flw     $10    $0     -964
fsw     $16    $0     180
fsw     $10    $0     552
fadd    $27    $14    $11  
fadd    $12    $23    $22  
fadd    $31    $13    $30  
fsw     $5     $0     1192
fsw     $30    $0     -612
fadd    $11    $1     $26  
fsw     $31    $0     -1384
fsub    $10    $17    $16  
flw     $11    $0     -1156
fadd    $27    $2     $21  
fsw     $18    $0     1172
fsw     $14    $0     -756
fadd    $13    $9     $15  
fadd    $22    $27    $16  
fsub    $14    $23    $0   
fadd    $15    $0     $16  
fadd    $9     $29    $8   
fsub    $20    $15    $14  
fsw     $26    $0     60
fadd    $23    $16    $18  
fsub    $2     $5     $15  
fadd    $15    $17    $28  
fsw     $15    $0     -1028
flw     $11    $0     1916
fsw     $13    $0     760
fsub    $28    $30    $6   
fadd    $8     $25    $22  
flw     $1     $0     768
fsw     $20    $0     280
fsw     $27    $0     -384
fsub    $30    $1     $11  
fsub    $26    $12    $19  
flw     $7     $0     -692
fsw     $21    $0     -28
fsw     $3     $0     1940
fsub    $5     $20    $29  
flw     $6     $0     276
fsw     $25    $0     456
fsub    $5     $17    $23  
fadd    $8     $9     $5   
flw     $25    $0     -1820
fadd    $23    $6     $23  
fsub    $26    $3     $15  
fadd    $21    $3     $17  
flw     $25    $0     716
flw     $7     $0     236
fadd    $5     $28    $18  
fsub    $17    $2     $30  
flw     $18    $0     -1240
fsw     $20    $0     -396
fsub    $2     $30    $27  
fadd    $15    $5     $9   
fsw     $4     $0     1824
fsw     $25    $0     -488
fadd    $22    $12    $23  
fsw     $14    $0     180
fsw     $11    $0     448
fadd    $31    $9     $12  
fadd    $25    $7     $5   
fadd    $7     $17    $30  
fsw     $24    $0     1160
fsw     $23    $0     -880
fsub    $20    $9     $8   
flw     $10    $0     440
fsub    $10    $15    $31  
fsw     $16    $0     1360
fsw     $19    $0     -464
flw     $11    $0     1136
fadd    $22    $26    $31  
flw     $15    $0     2036
flw     $17    $0     -776
fadd    $31    $29    $22  
fsub    $25    $7     $30  
